time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,1.514251709,5.693957859,0.241554857,-0.398335135,0.214629279,0.000027974
2,3.014483982,20.036310832,0.102401169,-0.400503028,0.108501858,0.000027127
3,4.509779188,43.286866930,0.064153787,-0.397833729,0.071556939,0.000032213
4,6.004180908,75.609471639,0.048633246,-0.399218035,0.053306580,0.000030518
5,7.502451579,116.967988756,0.038983056,-0.402160753,0.042731391,0.000025431
6,9.001232571,167.277553982,0.032240536,-0.400625419,0.035494486,0.000035604
7,10.498597887,226.815343221,0.028892808,-0.400401000,0.030277676,0.000035604
8,11.991634793,295.221647475,0.026477622,-0.402932018,0.026673211,0.000035604
10,14.979509142,458.800481160,0.022327089,-0.399887922,0.021374173,0.000036452
12,17.974431356,658.579025269,0.019201174,-0.397912003,0.017878215,0.000036452
14,20.948742337,892.318378025,0.016616352,-0.399767202,0.015287611,0.000031365
16,23.930402968,1163.222805447,0.015590359,-0.400210054,0.013370090,0.000024584
19,28.395872328,1634.645026313,0.013603554,-0.400006788,0.011269463,0.000022888
22,32.872709486,2187.573343913,0.012156350,-0.400351655,0.009853787,0.000034756
25,37.367180718,2823.035827637,0.010859968,-0.398461056,0.008564419,0.000035604
29,43.319936117,3788.493877835,0.009363583,-0.401368438,0.007469177,0.000029670
33,49.268376668,4898.777350532,0.009042371,-0.400569634,0.006448534,0.000032213
38,56.749028524,6492.339184231,0.007940631,-0.400666742,0.005636427,0.000025431
43,64.184087118,8302.878402710,0.007689606,-0.400549809,0.005101522,0.000031365
49,73.154971653,10770.281589084,0.006229621,-0.400178119,0.004307217,0.000036452
55,82.097702026,13564.379009671,0.006234523,-0.402056802,0.003850301,0.000027127
62,92.537601047,17227.210430569,0.005861167,-0.398246190,0.003456963,0.000032213
70,104.445692274,21916.986106025,0.004524830,-0.400651886,0.003031413,0.000025431
78,116.441429986,27202.123343574,0.003114177,-0.401032765,0.002783034,0.000035604
87,129.840426975,33843.222608778,0.003725038,-0.397845916,0.002471076,0.000030518
97,144.678292169,42005.831415812,0.003388312,-0.401500778,0.002258301,0.000031365
108,161.092271593,52059.895594279,0.003035475,-0.399701511,0.001904806,0.000030518
121,180.432552762,65288.527282715,0.002687681,-0.402729905,0.001742893,0.000035604
135,201.314492120,81337.310212877,0.003463653,-0.399653165,0.001579285,0.000018650
150,223.721566094,100383.687420315,0.002788335,-0.398105756,0.001410590,0.000031365
167,249.136552599,124413.933768378,0.002196153,-0.399058972,0.001293606,0.000027974
186,277.228966607,154087.847980075,0.002417390,-0.400050980,0.001174927,0.000033061
207,308.388171726,190494.177347819,0.001482688,-0.400303304,0.000996060,0.000027974
230,342.863106622,235466.205200195,0.001472318,-0.401126135,0.000933329,0.000032213
255,379.908801609,289218.019632975,0.001896733,-0.401935132,0.000856188,0.000027127
283,421.554194132,356035.639504327,0.001710298,-0.400426301,0.000757853,0.000032213
313,466.208957248,435563.506954617,0.001948715,-0.400205599,0.000695970,0.000027974
347,516.768647936,535036.501553006,0.001712041,-0.399495490,0.000627306,0.000029670
384,572.406982422,656236.248775906,0.001396388,-0.399985948,0.000541687,0.000033908
425,633.234722561,803166.886530558,0.001462737,-0.399635151,0.000530667,0.000024584
470,700.271587796,981695.033918593,0.000937458,-0.400980900,0.000466241,0.000028822
519,773.123526679,1197426.380940755,0.001651379,-0.399660778,0.000418769,0.000028822
573,853.566655477,1458954.979612562,0.001219844,-0.398710967,0.000378927,0.000036452
633,942.492277357,1778941.112004598,0.001317018,-0.399863389,0.000348409,0.000045776
