time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.005289714,0.005425347,96.996055978,-3.800776518,0.994767931,0.984619141
2,0.007046170,0.007459852,74.274577683,-3.800887848,0.993109809,0.984758165
3,0.007568359,0.008192274,71.160259347,-3.800852789,0.992652045,0.984605577
4,0.007893880,0.008755154,69.575508862,-3.800819712,0.992414686,0.984646267
5,0.008165148,0.009073893,67.223688222,-3.800807800,0.992146810,0.984758165
6,0.008151584,0.008972168,66.524310696,-3.800815984,0.992146810,0.984510634
7,0.008131239,0.008911133,66.436704719,-3.800846976,0.992146810,0.984656440
8,0.008076986,0.009067112,68.622051967,-3.800909922,0.992255317,0.984676785
10,0.008219401,0.009256999,67.491374356,-3.800815290,0.992136637,0.984758165
12,0.008538140,0.009840224,66.838033371,-3.800731502,0.991875543,0.984622531
14,0.009087457,0.010572645,63.849049868,-3.800849453,0.991356744,0.984625922
16,0.008626302,0.010308160,68.334029751,-3.800861438,0.991939969,0.984764947
19,0.008829753,0.010498047,66.812356975,-3.800870219,0.991739909,0.984446208
22,0.009250217,0.012125651,69.499021494,-3.800822639,0.991465251,0.984303792
25,0.009324816,0.012396918,69.969514010,-3.800661438,0.991434733,0.984395345
29,0.009175618,0.012186686,71.569816967,-3.800727358,0.991553413,0.984639486
33,0.008972168,0.011983236,72.415628594,-3.800709006,0.991780599,0.984758165
38,0.009419759,0.012993707,71.609090153,-3.800756827,0.991482205,0.984863281
43,0.009745280,0.013264974,67.552021230,-3.800841604,0.991156684,0.984856500
49,0.009874132,0.013203939,65.362970189,-3.800711824,0.991071913,0.984436035
55,0.010111491,0.013916016,66.359504186,-3.800580934,0.990882026,0.984344482
62,0.009887695,0.014038086,69.480110951,-3.800747066,0.991163466,0.984731038
70,0.010640462,0.015862359,68.135628325,-3.800521061,0.990641276,0.984636095
78,0.010369195,0.015041775,68.545545117,-3.800659275,0.990841336,0.984273275
87,0.010308160,0.015367296,69.825215048,-3.800806195,0.990970188,0.984642877
97,0.010477702,0.015726725,69.260176007,-3.800600621,0.990814209,0.984449599
108,0.010437012,0.014533149,65.103930147,-3.800641389,0.990807427,0.984642877
121,0.010559082,0.015869141,69.653930610,-3.800727644,0.990804036,0.984670003
135,0.010871039,0.015875922,66.075694863,-3.800660360,0.990556505,0.984761556
150,0.010789659,0.015848796,67.192594471,-3.800767104,0.990766737,0.984544542
167,0.010959201,0.016370985,67.498731651,-3.800710669,0.990648058,0.984731038
186,0.011094835,0.017205132,71.174698795,-3.800728500,0.990529378,0.984391954
207,0.011128743,0.017774794,72.161205281,-3.800791810,0.990597195,0.984151204
230,0.011820475,0.018575033,66.119392612,-3.800624565,0.990068224,0.984144423
255,0.011745877,0.018202040,65.432736397,-3.800818413,0.990156386,0.984619141
283,0.011684842,0.019049750,68.705706854,-3.800756216,0.990342882,0.984534370
313,0.011766222,0.018303765,65.399078951,-3.800867699,0.990146213,0.984327528
347,0.012254503,0.020446777,67.786234316,-3.800770319,0.989990234,0.984503852
384,0.012776693,0.021925184,66.814727157,-3.800691092,0.989712185,0.984242757
425,0.013156467,0.024780273,70.463184813,-3.800766350,0.989576552,0.984391954
470,0.013210720,0.025614421,74.290096992,-3.800602240,0.989413791,0.984174940
519,0.013434516,0.025607639,69.246768269,-3.800681333,0.989312066,0.984157986
573,0.014099121,0.029120551,71.679613001,-3.800554011,0.989135742,0.984263102
633,0.014295790,0.030890571,74.225217447,-3.800608407,0.989145915,0.983940972
699,0.014506022,0.029513889,68.772329112,-3.800777681,0.988749186,0.984242757
771,0.014919705,0.032531738,73.674917650,-3.800708451,0.988766140,0.984096951
851,0.015075684,0.031975640,69.941153776,-3.800857824,0.988627116,0.984235975
939,0.015523275,0.033569336,68.292365704,-3.800727048,0.988501655,0.984157986
1036,0.015733507,0.033766005,67.027100615,-3.800839604,0.988376194,0.984168159
1142,0.015842014,0.034498427,68.864412108,-3.800936649,0.988382975,0.984141032
1259,0.016282823,0.037611220,70.205986058,-3.800684320,0.988237169,0.984069824
1388,0.016669379,0.041666667,74.283362884,-3.800737083,0.987972683,0.984046088
1530,0.016682943,0.043572320,76.949107667,-3.800856747,0.988315158,0.983815511
1686,0.017822266,0.047214084,72.919499850,-3.800862326,0.987589518,0.984174940
1857,0.018208822,0.047431098,70.257593614,-3.800713325,0.987314860,0.983676487
2046,0.018215603,0.048638238,73.525244328,-3.800860187,0.987575955,0.983815511
2253,0.018439399,0.048244900,71.737210299,-3.800704300,0.987375895,0.983551025
2481,0.019287109,0.051798503,68.354326380,-3.800779373,0.987013075,0.983866374
2732,0.019524468,0.051472982,67.464773750,-3.800863466,0.986904568,0.983466254
3008,0.019626194,0.052910699,68.364828832,-3.800857807,0.986823188,0.983669705
3312,0.020216200,0.058871799,71.171059165,-3.801065828,0.986626519,0.983771430
3646,0.021185981,0.061157227,67.962931356,-3.800781222,0.986039903,0.983473036
4014,0.021084256,0.056667752,63.866407471,-3.800942171,0.985989041,0.983910455
4419,0.021213108,0.060390896,67.025523420,-3.800982432,0.986287435,0.983842638
4864,0.022271050,0.065253364,65.415866663,-3.800834657,0.985694038,0.983428955
5354,0.022230360,0.064147949,63.327826511,-3.801003670,0.985683865,0.983303494
5893,0.023288303,0.071594238,64.698738225,-3.800760646,0.985399034,0.982920329
6486,0.023322211,0.074239095,67.411965260,-3.801060342,0.985751682,0.983262804
7138,0.024603950,0.077121311,63.176734820,-3.800826179,0.984927707,0.983194987
7855,0.024651421,0.078972711,64.974500586,-3.800794703,0.985076904,0.982754178
8644,0.025343153,0.084920247,64.309424084,-3.800987301,0.984785292,0.982659234
9512,0.025539822,0.087185330,67.112275430,-3.801140011,0.984931098,0.982588026
10467,0.027343750,0.099527995,65.957257205,-3.800969781,0.984144423,0.982493083
11518,0.027425130,0.099175347,64.769561680,-3.801123345,0.984161377,0.982465956
12674,0.028218587,0.102274577,63.821093098,-3.800914489,0.983910455,0.982177734
13945,0.029317220,0.107930501,62.109393865,-3.800915767,0.983493381,0.981652154
15344,0.030341254,0.116448296,62.647292372,-3.800769443,0.983167860,0.981309679
16882,0.030721029,0.122260200,64.451788661,-3.801112520,0.983272976,0.981404622
18574,0.031555176,0.120619032,60.003686044,-3.800998828,0.982771132,0.981367323
20436,0.032687717,0.133755154,61.214855041,-3.801020151,0.982435438,0.980973985
22484,0.033983019,0.138678657,59.398423232,-3.801104325,0.981974284,0.980838352
24737,0.034261068,0.136901855,57.377819826,-3.801093929,0.981781006,0.980563694
27215,0.035630968,0.145955404,57.860734061,-3.801129204,0.981475830,0.980624729
29941,0.036295573,0.155714247,59.368360153,-3.801026139,0.981323242,0.979868571
32940,0.037563748,0.165988498,58.553119722,-3.801273499,0.980706109,0.979868571
36238,0.039232042,0.173767090,55.775818814,-3.800876831,0.980204264,0.979000515
39866,0.040988498,0.198228624,58.035086799,-3.800762546,0.979702420,0.978814019
43857,0.041971842,0.206617567,57.652125674,-3.800708657,0.979590522,0.978098551
48247,0.042399089,0.212836372,58.269901144,-3.800731142,0.979597304,0.978196886
53077,0.044311523,0.223802355,56.691245530,-3.800861723,0.978773329,0.978044298
58390,0.046183268,0.232462565,53.951708319,-3.800704883,0.978115506,0.977617052
64234,0.046081543,0.231974284,54.110810716,-3.800954842,0.978146023,0.977562798
70662,0.047166612,0.231906467,51.612043531,-3.800883951,0.977745904,0.977281359
77733,0.048285590,0.250549316,53.350810043,-3.800992978,0.977762858,0.976338704
85511,0.050794813,0.272352431,51.994569134,-3.800868825,0.976718479,0.975782606
94067,0.051812066,0.271884494,50.039958037,-3.801006199,0.976365831,0.976070828
103479,0.053148058,0.305087619,52.972854700,-3.801042451,0.976291233,0.975911458
113832,0.055372450,0.315660265,51.007775361,-3.800943306,0.975769043,0.975006104
125220,0.056593153,0.335035536,51.323178193,-3.801037912,0.975372314,0.974456787
137747,0.058987088,0.348524306,49.638737920,-3.801249196,0.974568685,0.974561903
151527,0.059807671,0.362487793,49.924044584,-3.801385828,0.974578857,0.974077013
166685,0.063761393,0.411770291,49.180575363,-3.801010220,0.973419189,0.972751194
183359,0.066630046,0.447679308,49.407586954,-3.801320867,0.972930908,0.972561306
201700,0.067253961,0.456990560,49.399924472,-3.801555931,0.972930908,0.972242567
221876,0.071099175,0.477715386,46.339818167,-3.801218039,0.971815321,0.971499973
244069,0.073540582,0.515285916,46.687218267,-3.801149921,0.971313477,0.970933702
268482,0.074707031,0.509602865,44.784338569,-3.801579032,0.970869276,0.970486111
295336,0.077636719,0.547261556,44.561458414,-3.801115355,0.970160590,0.970191108
324875,0.080647786,0.574327257,43.348143193,-3.801285332,0.969590929,0.969482422
357368,0.083353678,0.610758464,42.975402713,-3.801527206,0.968889025,0.968699137
393111,0.087266710,0.654900445,42.044660224,-3.801041782,0.968241374,0.968007406
432428,0.090203179,0.675116645,40.629730135,-3.801568439,0.967549642,0.967196994
475677,0.092868381,0.704108344,39.945834144,-3.801517943,0.966759576,0.966617160
523251,0.097466363,0.740132650,37.988748962,-3.801508982,0.965416802,0.965508355
575582,0.100789388,0.797390408,38.347730304,-3.801475046,0.964931912,0.965213352
633147,0.106479221,0.859002007,36.952318162,-3.801454773,0.963446723,0.963646783
696468,0.109619141,0.899414062,36.593899119,-3.801221195,0.962988959,0.962846544
766121,0.113288032,0.930508084,35.366631535,-3.801576740,0.962242974,0.962093777
842740,0.116346571,0.972513835,34.986106349,-3.801520023,0.961469862,0.961941189
927020,0.122389052,1.045010037,33.898626910,-3.801236584,0.960235596,0.960045709
1019729,0.127658420,1.150153266,34.365732225,-3.801392940,0.959496392,0.959876166
1121708,0.132554796,1.225301107,33.927792376,-3.801412723,0.958665636,0.958557129
1233885,0.137342665,1.285529243,33.065277876,-3.801353704,0.957699246,0.957784017
1357280,0.141798231,1.365295410,32.882020147,-3.801678176,0.957146539,0.957068549
1493015,0.148539225,1.496676975,32.954929722,-3.801812883,0.956129286,0.956400553
1642323,0.155877007,1.566501194,31.176371176,-3.801598021,0.954233805,0.954060872
1806562,0.164808485,1.758375380,31.210673491,-3.801511049,0.953155518,0.953233507
1987225,0.173909505,1.928405762,30.764404266,-3.801294019,0.951483832,0.951012505
2185955,0.182739258,2.178487142,31.355386121,-3.801213618,0.949981689,0.949971517
2404558,0.191609701,2.287611220,29.757110419,-3.800976094,0.948296441,0.948513455
2645021,0.201043023,2.498318142,29.489372658,-3.801062495,0.947347005,0.947146946
2909530,0.211398655,2.678432888,28.711677011,-3.801352994,0.945546468,0.946333143
3200490,0.221489800,2.919786241,28.544693918,-3.801684605,0.944705539,0.944437663
3520546,0.232096354,3.243211534,28.853691319,-3.801670898,0.943535699,0.943759494
3872608,0.241651747,3.467725966,28.417133956,-3.801622373,0.942328559,0.942216661
4259876,0.252800836,3.687540690,27.560283442,-3.801533565,0.940388997,0.940093994
4685871,0.267395020,4.100199382,27.479105270,-3.801298438,0.938215468,0.937930637
5154466,0.280680339,4.488416884,27.194908493,-3.801252975,0.936557346,0.936411540
5669920,0.296495226,4.807929145,26.154360307,-3.800852409,0.934048123,0.934322781
6236920,0.309651693,5.185865614,25.867266939,-3.801142432,0.932583279,0.932617188
6860620,0.323357476,5.667914497,25.996152960,-3.801460692,0.931766086,0.931498210
7546690,0.335862901,5.772535536,24.458404481,-3.801315461,0.929762099,0.929582384
8301367,0.351243761,6.237284342,24.157483941,-3.801011889,0.928249783,0.928066678
9131512,0.366719564,6.641743978,23.550467094,-3.801067220,0.926317003,0.926411947
10044671,0.388041178,7.342312283,23.240640099,-3.801188492,0.923909505,0.923807780
11049146,0.408372667,7.785074870,22.225778805,-3.800833670,0.921173096,0.921413845
12154069,0.427707248,8.274020725,21.521121397,-3.800999561,0.919653998,0.919430203
13369484,0.447557237,8.911716037,21.145445160,-3.801237918,0.917826335,0.917392307
14706440,0.474636502,9.429063585,19.892655652,-3.800753230,0.914666070,0.914710151
16177092,0.496588813,10.175143772,19.537651657,-3.801661002,0.912153456,0.912285699
17794809,0.523912218,11.178256565,19.310726834,-3.801199881,0.909901937,0.909908719
19574298,0.555765788,12.415052626,19.054941958,-3.801015731,0.907060411,0.906894260
21531736,0.595425076,14.233947754,18.982446959,-3.800972711,0.904127333,0.904035780
23684918,0.632500543,15.406202528,18.223600349,-3.800810264,0.901143392,0.900916206
26053418,0.669270833,16.902194553,17.866542917,-3.800616826,0.897179498,0.897155762
28658768,0.708441840,18.711866591,17.647587652,-3.801019586,0.895334880,0.894643148
31524653,0.739318848,20.380106608,17.624186192,-3.801395200,0.892676459,0.892150879
34677127,0.787604438,22.491767036,17.106374701,-3.800900038,0.888427734,0.887997097
38144848,0.837612576,24.421223958,16.385900067,-3.800696915,0.883941650,0.883792453
41959342,0.875101725,26.495863173,16.292804072,-3.801202792,0.882517497,0.882534451
46155285,0.928066678,28.871663411,15.768797130,-3.800628308,0.878543430,0.878041585
50770822,0.986741808,31.846869575,15.383417595,-3.800771199,0.874328613,0.874050564
55847913,1.046223958,35.090250651,15.050125666,-3.801063056,0.870713976,0.870836046
61432713,1.112284342,38.297926161,14.489238493,-3.800410555,0.866326226,0.866017660
67575993,1.190083822,42.418633355,13.986101703,-3.800321561,0.861572266,0.861287435
74333601,1.269212511,46.999979655,13.594476925,-3.800357541,0.856601291,0.856879340
81766970,1.352315267,51.280585395,13.016447198,-3.800917286,0.852657742,0.852684869
89943676,1.427042643,55.419847276,12.617272500,-3.800846722,0.848412408,0.848256429
98938053,1.524258084,61.114135742,12.147053907,-3.800218506,0.842647976,0.842180040
108831868,1.624803331,68.665561252,11.982897831,-3.800444870,0.837748210,0.837219238
119715064,1.729220920,74.441365560,11.428486925,-3.800602905,0.831722683,0.831692166
131686580,1.845852322,84.323154026,11.310762535,-3.800768062,0.826565213,0.826443142
144855247,1.958767361,92.835361057,11.020903854,-3.800825557,0.821879069,0.821858724
159340781,2.094421387,102.861606174,10.613113810,-3.800770659,0.815724691,0.815924750
175274869,2.237508138,113.282274034,10.248383858,-3.800577982,0.809292263,0.809112549
192802366,2.388970269,124.107550727,9.808711503,-3.800625257,0.801330566,0.801198324
212082612,2.546400282,137.917805990,9.577385303,-3.800996146,0.796179877,0.796271430
233290883,2.712226020,151.562323676,9.266975615,-3.801235438,0.788299561,0.788326687
256619981,2.900099013,166.423882378,8.854656655,-3.800981339,0.781019423,0.781253391
282281989,3.104621039,185.316813151,8.578017061,-3.802068407,0.774061415,0.774088542
310510198,3.332892524,204.925381131,8.195202336,-3.800653676,0.765658908,0.765557183
341561228,3.548258464,224.319193522,7.886934514,-3.800796293,0.757910834,0.757649740
375717361,3.793341743,248.318901910,7.607280894,-3.800214625,0.749094645,0.749491374
413289107,4.095906576,283.038662381,7.421043790,-3.799192772,0.738661024,0.738583035
454618028,4.400241428,316.437167697,7.158696409,-3.799904217,0.730356852,0.730441623
500079841,4.743008084,354.587185330,6.862984144,-3.799529017,0.721466064,0.721686469
550087835,5.099378798,400.404914008,6.691954935,-3.800367786,0.711778429,0.711978488
605096629,5.490505642,454.980550130,6.542175560,-3.800747234,0.701887343,0.701816135
665606302,5.887715658,507.192532010,6.307328677,-3.800996337,0.692159017,0.692233615
732166942,6.345465766,571.756795247,6.088845440,-3.800407157,0.681484646,0.681688097
805383646,6.808702257,639.808159722,5.885110604,-3.800290644,0.671230740,0.671440972
885922021,7.344923231,712.088175456,5.591903024,-3.800293769,0.660936144,0.661282010
974514234,7.883721246,796.863471137,5.398851295,-3.800627968,0.650583903,0.650844998
1071965668,8.494506836,892.043714735,5.171345189,-3.800175179,0.638380263,0.638614231
