time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.042677138,0.052593655,13.470616464,-2.597236009,0.960289001,0.073338826
2,0.067779541,0.098999023,9.781582135,-2.597172689,0.941101074,0.073317634
3,0.086439345,0.143732707,8.609669288,-2.597030505,0.928835551,0.073325263
4,0.101448907,0.186162313,8.039232151,-2.596994459,0.919919332,0.073289659
5,0.114067925,0.226681179,7.705034701,-2.597397987,0.913218180,0.073304918
6,0.125761244,0.264992608,7.375722383,-2.596965891,0.907274034,0.073261685
7,0.136449178,0.301891751,7.113193311,-2.596516164,0.901849535,0.073276096
8,0.146709866,0.341128879,6.922470454,-2.596636467,0.897013346,0.073287116
10,0.164740668,0.417349921,6.685685962,-2.596949021,0.889026218,0.073298136
12,0.181611803,0.491924710,6.451887948,-2.597079577,0.881859673,0.073402405
14,0.198187934,0.570241292,6.253323509,-2.596814625,0.874966092,0.073242188
16,0.212895711,0.642615424,6.083157784,-2.597027922,0.869502597,0.073264228
19,0.235670302,0.757663303,5.818284113,-2.596877278,0.860855103,0.073259142
22,0.255505032,0.868326823,5.648812666,-2.597021844,0.853526645,0.073165894
25,0.276160346,0.989746094,5.486731280,-2.596941913,0.846668667,0.073176066
29,0.301881578,1.144912720,5.278514887,-2.596423320,0.837844001,0.073158264
33,0.326285468,1.301762899,5.110501575,-2.596435194,0.829797533,0.073112488
38,0.355531481,1.507914225,4.961437109,-2.596960705,0.821021186,0.073032803
43,0.383163452,1.708708021,4.819992662,-2.597148209,0.812900967,0.073031108
49,0.413767497,1.935358683,4.650636033,-2.597350608,0.804539151,0.072977702
55,0.446534899,2.195794000,4.503954806,-2.597124530,0.794985453,0.072913276
62,0.480901082,2.493223402,4.390078762,-2.597034825,0.786077711,0.072931925
70,0.520377265,2.856330024,4.270116119,-2.596088496,0.776247660,0.072834439
78,0.557793511,3.207231310,4.149001256,-2.596614297,0.766622755,0.072667440
87,0.598646376,3.579822116,3.989015292,-2.596272841,0.756691827,0.072572496
97,0.644105699,4.049280802,3.876145715,-2.596245524,0.746423509,0.072487725
108,0.692667643,4.560877482,3.747166562,-2.596742705,0.735877991,0.072332594
121,0.746225993,5.170676337,3.635467188,-2.597150662,0.725157844,0.072212219
135,0.803968641,5.845096164,3.515017367,-2.596301502,0.713367886,0.072222392
150,0.864834256,6.607720269,3.413146714,-2.596556203,0.701527066,0.072064718
167,0.930375841,7.471996731,3.311893242,-2.596763363,0.689368354,0.071805318
186,1.002994113,8.511647542,3.227839328,-2.597391048,0.676978217,0.071770562
207,1.082112630,9.677500407,3.130308566,-2.597336663,0.663733588,0.071470473
230,1.163119846,10.896659003,3.026098683,-2.596411198,0.651043362,0.071323819
255,1.252539741,12.353117201,2.935749074,-2.596337207,0.637489319,0.071150886
283,1.349561903,13.949798584,2.829138260,-2.596443805,0.623190986,0.070901659
313,1.455993652,15.833209568,2.734846667,-2.596024580,0.608509488,0.070631239
347,1.570587158,17.937179565,2.635176363,-2.596263903,0.593305800,0.070206536
384,1.689551459,20.272108290,2.549848415,-2.596053372,0.578303867,0.069613139
425,1.822113037,23.025636461,2.467431949,-2.596569859,0.562522040,0.069469876
470,1.966456095,26.233466254,2.390850726,-2.596256257,0.547031826,0.068821377
519,2.115358141,29.689124213,2.316770133,-2.596135672,0.531339010,0.068371243
573,2.278708564,33.576268514,2.232966233,-2.595205062,0.515227424,0.067760891
633,2.461213854,38.347561306,2.164474458,-2.595524925,0.498697917,0.067189535
699,2.659835815,43.738321940,2.090544746,-2.595039509,0.482082791,0.066633436
771,2.866029527,49.577858819,2.016865667,-2.595753381,0.465310838,0.066179064
851,3.098853217,56.617156982,1.947123305,-2.595253137,0.447992961,0.065552606
939,3.349733141,64.737458971,1.884077469,-2.595114688,0.430649651,0.064954970
1036,3.616161770,73.740191989,1.818799990,-2.596425635,0.413527595,0.064243741
1142,3.913469103,84.725980971,1.765481238,-2.595830219,0.396109687,0.063344320
1259,4.230792575,96.687549167,1.699771289,-2.596608796,0.378688388,0.062616136
1388,4.579362657,110.943035550,1.644379626,-2.594848015,0.360963609,0.061657376
1530,4.961597019,127.468082004,1.587741995,-2.594830764,0.342876858,0.060486688
1686,5.373297797,145.818878174,1.523729605,-2.594919651,0.324977451,0.059182909
1857,5.821346707,167.512440999,1.470142958,-2.595127113,0.307966444,0.057984246
2046,6.309565226,191.959671021,1.409872013,-2.595605523,0.290707058,0.056806776
2253,6.836037530,220.078808255,1.353526017,-2.595099041,0.273095025,0.055412292
2481,7.416346232,253.581865099,1.304356850,-2.595300487,0.256188287,0.053910149
2732,8.060041640,293.789979723,1.260147894,-2.594974797,0.239141676,0.052513970
3008,8.756015354,339.116165161,1.210634864,-2.594861995,0.222501119,0.050809224
3312,9.509828356,391.083023071,1.161464122,-2.596261108,0.206647237,0.049235874
3646,10.330646091,451.848893907,1.116315981,-2.595251004,0.191136678,0.047412448
4014,11.216512044,522.031975640,1.073903984,-2.595798053,0.176752726,0.045450846
4419,12.183751424,602.936679416,1.030260810,-2.594886082,0.162957933,0.043605381
4864,13.251553006,699.655637953,0.991598254,-2.595459948,0.149322510,0.041545444
5354,14.400037977,809.655295478,0.951881913,-2.595727213,0.136271159,0.039821201
5893,15.665542603,940.254442003,0.915235576,-2.596211696,0.124172635,0.037753635
6486,17.053836399,1090.787753635,0.874884391,-2.597132659,0.112041050,0.035686069
7138,18.576256646,1266.772972955,0.835111241,-2.596700466,0.100646973,0.033584595
7855,20.232737223,1475.638834635,0.801987569,-2.597535513,0.090495639,0.031665378
8644,22.043741862,1719.293124729,0.768515305,-2.597258451,0.081149631,0.029531691
9512,24.009991116,2002.903832330,0.736637350,-2.597331432,0.072152880,0.027565002
10467,26.179504395,2334.126168145,0.702520024,-2.596937267,0.064153035,0.025737339
11518,28.561728583,2728.526730008,0.672070974,-2.597470943,0.056428697,0.023477342
12674,31.168211195,3182.579042223,0.637849671,-2.597098519,0.049808078,0.021600511
13945,34.034837511,3733.353673299,0.611311191,-2.598059134,0.043645223,0.019660950
