time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.215550741,0.354634603,2.816639968,-1.796517265,0.821090698,0.000444200
2,0.380113390,0.870737712,2.012568404,-1.797268606,0.733647664,0.000428094
3,0.525600857,1.492740207,1.701620108,-1.796346589,0.673550924,0.000437419
4,0.658935547,2.190916273,1.522648301,-1.796123945,0.627259996,0.000434028
5,0.783669366,2.958219740,1.407813232,-1.796829085,0.590661791,0.000456916
6,0.904593574,3.799524943,1.321299637,-1.796701442,0.558892992,0.000448439
7,1.020845201,4.692052205,1.250772149,-1.796019882,0.530952454,0.000420464
8,1.136137221,5.666542901,1.194476993,-1.795762411,0.505878025,0.000406053
10,1.359965007,7.771331787,1.100471365,-1.796296692,0.462650723,0.000415378
12,1.575946384,10.116114299,1.036093323,-1.796115999,0.427159627,0.000433180
14,1.786873711,12.682890150,0.985766038,-1.795749356,0.397008260,0.000428094
16,1.992574056,15.380177816,0.936581296,-1.795158046,0.370436774,0.000433180
19,2.298846775,19.878897773,0.880635806,-1.796654439,0.335597568,0.000432332
22,2.598997328,24.738188002,0.830938368,-1.797112451,0.306164212,0.000435723
25,2.891299778,30.048609416,0.796951428,-1.797395543,0.281684028,0.000438266
29,3.275633070,37.504747179,0.747414291,-1.796321968,0.253679911,0.000423855
33,3.655248006,45.772045559,0.712760349,-1.796879637,0.229993184,0.000428094
38,4.126951430,56.990356445,0.672918506,-1.797287304,0.205741882,0.000430637
43,4.590996636,69.147101508,0.640134458,-1.796833453,0.184450785,0.000415378
49,5.138916016,84.839970907,0.606212436,-1.797601613,0.164490594,0.000417074
55,5.691348606,102.177029080,0.577158273,-1.796643670,0.146863302,0.000416226
62,6.321346707,123.917295668,0.550442311,-1.797099415,0.129880269,0.000387404
70,7.035500420,150.923268636,0.524451990,-1.797648974,0.114193387,0.000410292
78,7.745191786,180.069168091,0.500736726,-1.795939116,0.101459079,0.000402662
87,8.542555067,215.534133911,0.476605557,-1.796234238,0.089501275,0.000394185
97,9.423619588,258.744971381,0.456703710,-1.797940800,0.079005771,0.000380622
108,10.378089057,309.197618273,0.435299299,-1.797492349,0.069036696,0.000423855
121,11.510586209,373.831800673,0.410647421,-1.796020095,0.059936523,0.000395881
135,12.736631605,451.968975491,0.392901830,-1.796843205,0.052172343,0.000433180
150,14.026192559,540.314019097,0.373065968,-1.796529610,0.045802646,0.000417074
167,15.488581340,649.430982802,0.353436100,-1.796192178,0.039735582,0.000396729
186,17.128679064,784.400392320,0.336686191,-1.797321550,0.034795125,0.000411140
207,18.921656291,943.788847182,0.317992646,-1.797278497,0.030220879,0.000382317
230,20.887417263,1133.051278008,0.298458123,-1.797620863,0.026210361,0.000365363
255,22.995725844,1358.774471707,0.284661868,-1.798642439,0.023049249,0.000416226
283,25.350268894,1632.202363756,0.269820073,-1.798965721,0.020581563,0.000404358
313,27.869800144,1951.210774740,0.255968268,-1.799451516,0.018173218,0.000414530
347,30.715859307,2343.026757134,0.241639590,-1.799579408,0.015878465,0.000421312
384,33.789611816,2809.709357368,0.230368845,-1.797515677,0.014016045,0.000411140
425,37.238306681,3377.961730957,0.217922157,-1.800857349,0.012459649,0.000403510
470,40.975253635,4045.773685031,0.204756227,-1.798104056,0.011049906,0.000425551
519,45.048177083,4843.992657132,0.193399887,-1.797013159,0.009703742,0.000404358
573,49.545764499,5811.642866347,0.183646487,-1.798503291,0.008654277,0.000389947
633,54.539204915,6973.231920030,0.172037698,-1.798673533,0.007710775,0.000389099
699,59.980270386,8365.493469238,0.162540877,-1.796916579,0.006948683,0.000400967
771,65.982838949,10033.960132175,0.152207131,-1.796842888,0.006171332,0.000383165
851,72.593356662,12047.396786160,0.142966891,-1.799577743,0.005505032,0.000377231
939,79.845835368,14454.851170858,0.133569503,-1.797956096,0.004789564,0.000374688
1036,87.889280531,17377.381322225,0.124751516,-1.798263506,0.004463196,0.000394185
1142,96.658881293,20874.011474609,0.117026108,-1.797609628,0.003879971,0.000361125
1259,106.351381090,25120.825247871,0.110426159,-1.799384870,0.003615485,0.000360277
1388,116.980779012,30180.213894314,0.102641679,-1.798341506,0.003193325,0.000388251
1530,128.745942858,36333.696112739,0.095923035,-1.797359888,0.002918667,0.000358582
1686,141.572972616,43712.671040853,0.090384387,-1.798087103,0.002475315,0.000348409
1857,155.690717909,52572.374696520,0.084345916,-1.797355385,0.002287123,0.000339932
2046,171.268968370,63280.063452827,0.078577289,-1.798388202,0.002118429,0.000368754
2253,188.164959378,76054.264273749,0.073960036,-1.798660303,0.001797994,0.000320435
2481,207.035188463,91616.664296468,0.068656919,-1.800302259,0.001692030,0.000336541
2732,227.660057916,110252.852222019,0.063587327,-1.798483170,0.001508077,0.000325521
3008,250.293502808,132802.502563477,0.059891960,-1.799847458,0.001410590,0.000328912
3312,275.381464640,160174.728322347,0.056032902,-1.796647656,0.001219008,0.000311110
3646,302.773593479,192924.614025540,0.052207868,-1.797058154,0.001093547,0.000289917
4014,333.128280640,232710.924802992,0.048444432,-1.795309036,0.001035902,0.000266181
4419,366.218670315,280140.633951823,0.044349201,-1.798392461,0.000871446,0.000289917
4864,402.752914429,337808.500615438,0.041225614,-1.797471770,0.000847711,0.000272963
5354,443.297537910,407977.358206855,0.038004161,-1.797118583,0.000734965,0.000289069
5893,487.841142442,493158.656814575,0.036058825,-1.796353831,0.000681559,0.000265333
6486,536.501434326,595184.330608792,0.033872288,-1.794485537,0.000628153,0.000210232
7138,589.924341838,718649.754091051,0.032488295,-1.796663955,0.000554403,0.000229730
7855,648.335579766,865918.834114922,0.029996206,-1.796667623,0.000487434,0.000230577
8644,713.569864909,1047253.812216865,0.028334820,-1.796656368,0.000440809,0.000211928
9512,784.915971544,1264565.906770494,0.026245032,-1.798121398,0.000450982,0.000222948
10467,863.330610487,1525990.865839640,0.023656920,-1.797028235,0.000358582,0.000185649
11518,949.297256470,1842396.922285292,0.022209953,-1.798422672,0.000317044,0.000186496
12674,1044.541975233,2228422.884711372,0.021185496,-1.799475865,0.000344170,0.000179715
13945,1149.431440565,2695432.424467299,0.020052062,-1.797555328,0.000283135,0.000169542
15344,1264.933927748,3256141.697157118,0.017488882,-1.796011970,0.000234816,0.000173781
16882,1391.004126655,3929332.686835395,0.015386421,-1.800445656,0.000238207,0.000154283
18574,1530.969930013,4751338.023150974,0.013563952,-1.795212487,0.000200907,0.000140720
20436,1683.878609551,5740856.672220866,0.012322986,-1.795210600,0.000204298,0.000124613
22484,1851.696823120,6941487.285909017,0.012218669,-1.798961631,0.000185649,0.000131395
24737,2037.297871908,8391209.578058878,0.010828065,-1.798317328,0.000168694,0.000116984
27215,2241.202099270,10154709.205332438,0.010803012,-1.795127574,0.000152588,0.000100878
