time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,2.112686157,10.590625339,0.186313881,0.000863100,0.109759861,0.000032213
2,4.244890001,38.299953885,0.062714855,-0.000593101,0.064604865,0.000030518
3,6.368058946,83.804623074,0.033254561,0.002072023,0.045158386,0.000024584
4,8.508138021,147.835991753,0.021095839,0.002035483,0.034632365,0.000029670
5,10.639997694,230.193779839,0.016658514,0.001251616,0.028122796,0.000030518
6,12.774915907,330.874169244,0.013694150,-0.002178164,0.023529900,0.000024584
7,14.905921088,449.553253174,0.011640055,-0.002070507,0.020610385,0.000027127
8,17.044548882,586.985807631,0.010221141,0.000971948,0.018069797,0.000025431
10,21.305114746,914.508904351,0.007351956,0.001833770,0.014506022,0.000028822
12,25.563223945,1314.707090590,0.005885593,-0.001070374,0.012171427,0.000030518
14,29.838226318,1789.940078735,0.005185276,0.001391338,0.010341220,0.000028822
16,34.119004991,2338.740098741,0.004490208,-0.001390142,0.009134081,0.000042386
19,40.492304484,3293.379957411,0.004283540,-0.000796360,0.007677714,0.000027974
22,46.891737196,4415.095659044,0.003929655,-0.000356571,0.006679959,0.000030518
25,53.290189955,5699.829172770,0.003518090,-0.001922969,0.005875481,0.000022888
29,61.825375027,7672.861406114,0.003652147,-0.000976779,0.005084568,0.000025431
33,70.346947564,9924.687469482,0.002742595,-0.001530886,0.004386902,0.000032213
38,81.032324897,13163.442284478,0.002349063,-0.002173006,0.003872342,0.000024584
43,91.687203301,16846.052317301,0.001940616,-0.000021158,0.003482395,0.000027974
49,104.517917209,21911.701687283,0.002906307,0.002214235,0.002955967,0.000027127
55,117.293343438,27564.326902601,0.001753210,-0.001749189,0.002612644,0.000034756
62,132.167611016,34985.981070624,0.001394903,-0.002088449,0.002409193,0.000032213
70,149.198671129,44610.614298503,0.001993044,0.000271606,0.002134535,0.000027127
78,166.292960273,55424.547451443,0.002099506,-0.001498541,0.001891242,0.000032213
87,185.408874512,68819.951805962,0.000953023,0.000131138,0.001725091,0.000027974
97,206.715347290,85557.317750719,0.001095564,0.000554034,0.001501295,0.000029670
108,230.110548231,106001.753233168,0.000940516,-0.003016884,0.001360575,0.000027974
121,257.871059842,133125.276231554,0.000966695,-0.000324267,0.001185099,0.000031365
135,287.927734375,166223.858674791,0.002507981,0.000550566,0.001108805,0.000031365
150,320.084503174,205461.915498522,0.002676130,0.000526038,0.000995212,0.000028822
167,356.288736979,254574.215123494,0.002686625,-0.000541633,0.000912137,0.000035604
186,396.986526489,315682.346474542,0.001515732,-0.000101366,0.000790066,0.000016954
207,441.983449300,391439.857176039,0.001865803,-0.000566931,0.000693427,0.000033061
230,490.988672892,483837.772732205,0.003499551,-0.002010672,0.000684950,0.000033061
255,544.178675334,593917.598178440,0.002773829,-0.003025638,0.000596788,0.000032213
283,603.905768500,731755.651384142,0.003194299,-0.000484057,0.000539144,0.000031365
313,667.756142510,894871.456798977,0.003413755,-0.001202399,0.000462002,0.000027127
347,740.455376519,1101353.280853271,0.004327934,-0.000231841,0.000432332,0.000038995
384,819.372031318,1349137.214557224,0.004696734,0.001234564,0.000393338,0.000027127
425,906.377911038,1650014.024807400,0.004199921,-0.000619214,0.000352648,0.000026279
470,1002.842032539,2020431.611899482,0.004461289,-0.001747749,0.000316196,0.000027127
519,1107.184597439,2459245.584148831,0.003027455,-0.001756040,0.000294156,0.000031365
573,1222.240098741,2995788.225146824,0.002660501,-0.001054145,0.000254313,0.000018650
633,1350.378219604,3655967.870361328,0.002410518,-0.000946938,0.000210232,0.000016954
699,1491.762530857,4461043.706726074,0.002295408,-0.001472568,0.000250075,0.000028822
771,1645.121461656,5425254.892552693,0.002243763,0.001104341,0.000190735,0.000028822
