time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.066162109,0.086771647,8.915444790,-2.397057474,0.939710829,0.009796143
2,0.108417087,0.176956177,6.532888087,-2.397117564,0.909871419,0.009775798
3,0.140792847,0.265784370,5.705420844,-2.397123750,0.890449524,0.009761386
4,0.168265449,0.355818007,5.285233881,-2.397818952,0.875912984,0.009735955
5,0.192542182,0.441275703,4.949886702,-2.397461937,0.863516066,0.009716458
6,0.214474148,0.529156155,4.749631688,-2.397293416,0.853770786,0.009710524
7,0.235202365,0.618089464,4.583788311,-2.397815762,0.844696045,0.009713067
8,0.255345662,0.707239787,4.420198922,-2.397345641,0.836407132,0.009724935
10,0.292322795,0.891876221,4.218934501,-2.396787539,0.822062174,0.009711372
12,0.327928331,1.081151326,4.023436769,-2.397214965,0.808717516,0.009696960
14,0.361545139,1.277659098,3.885010986,-2.397117173,0.797191196,0.009704590
16,0.392301771,1.468656752,3.768556503,-2.397265566,0.787083096,0.009750366
19,0.436679416,1.755850898,3.600824894,-2.397606900,0.773323907,0.009687636
22,0.480185615,2.069117228,3.482644612,-2.397547466,0.760269165,0.009699504
25,0.521830241,2.373296102,3.354432887,-2.398163399,0.748301188,0.009706285
29,0.575091892,2.792424520,3.218589312,-2.397917797,0.734046936,0.009696113
33,0.628702799,3.243452284,3.099530310,-2.397495393,0.719985962,0.009694417
38,0.690631443,3.774492052,2.954217598,-2.397253193,0.704489814,0.009673225
43,0.752607558,4.390267266,2.873204869,-2.397427492,0.690670437,0.009610494
49,0.823655870,5.083892822,2.745379032,-2.397310008,0.675110711,0.009603712
55,0.893836127,5.858261108,2.664975492,-2.397926980,0.660425822,0.009588454
62,0.971432156,6.752361721,2.576625938,-2.398261456,0.645269606,0.009590997
70,1.058943007,7.811625163,2.483216203,-2.398362469,0.628897773,0.009612189
78,1.144331190,8.910902235,2.401523263,-2.397448799,0.613745795,0.009561327
87,1.238374498,10.181289673,2.318418171,-2.397841815,0.597509596,0.009530809
97,1.340825399,11.681013319,2.247256056,-2.398012220,0.581622654,0.009494358
108,1.451566908,13.352369520,2.167552062,-2.397776679,0.564559937,0.009507073
121,1.577785916,15.353246053,2.082854372,-2.398423186,0.546954685,0.009441800
135,1.712307400,17.661722819,2.011348803,-2.397615446,0.528936598,0.009499444
150,1.852918837,20.217422485,1.943419963,-2.397966568,0.511858622,0.009454515
167,2.009801229,23.194402059,1.870825663,-2.398406705,0.493702359,0.009501139
186,2.185526530,26.718733046,1.796332511,-2.398010266,0.474444071,0.009437561
207,2.376519097,30.882161458,1.733708363,-2.397227729,0.455835130,0.009446886
230,2.584308200,35.670669556,1.670335651,-2.396993656,0.436272515,0.009496053
255,2.801418728,40.982118395,1.610930750,-2.398095169,0.418223911,0.009444343
283,3.045076158,47.485119290,1.560140155,-2.398246455,0.398984273,0.009395176
313,3.299031576,54.644453261,1.509901055,-2.397815197,0.380588955,0.009267171
347,3.583650377,62.938459608,1.449220189,-2.397188547,0.361537509,0.009209527
384,3.888739692,72.584223429,1.399143560,-2.397816125,0.343209161,0.009218004
425,4.229770237,84.121044583,1.350174457,-2.396932909,0.324013604,0.009102715
470,4.593137953,97.016849094,1.298635112,-2.397800487,0.305159675,0.009129842
519,4.983386570,111.751824273,1.249356790,-2.396904088,0.287372165,0.008993361
573,5.416848077,129.210550944,1.201306919,-2.397605046,0.269399855,0.008982340
633,5.894215902,149.985268487,1.158071424,-2.396078741,0.251714918,0.008882311
699,6.412872314,173.656266954,1.110539853,-2.395740318,0.234848870,0.008715312
771,6.973931207,201.009480794,1.065740754,-2.395457704,0.217174954,0.008651733
851,7.587263319,233.333236694,1.025841213,-2.395821204,0.201127794,0.008455065
939,8.257481893,271.006817288,0.986582731,-2.396049157,0.185382419,0.008458455
1036,8.992346870,315.259789361,0.948601131,-2.396258152,0.169932895,0.008269416
1142,9.788976034,365.803176880,0.908131675,-2.397007027,0.155492995,0.008054097
1259,10.642094930,423.913697984,0.871106065,-2.396709629,0.141554091,0.007952372
1388,11.599302504,495.501057943,0.840893400,-2.397157542,0.128844367,0.007894728
1530,12.647486369,577.965681288,0.806284108,-2.395888129,0.116192288,0.007830302
1686,13.786865234,673.573362562,0.771466320,-2.397016559,0.104577806,0.007629395
1857,15.015489366,785.313330756,0.741278462,-2.397666978,0.093949212,0.007447137
2046,16.381142510,915.912726508,0.706436061,-2.396135994,0.084094577,0.007331848
2253,17.868409899,1071.592332628,0.677975433,-2.396345017,0.074891832,0.007032606
2481,19.508166843,1253.373148600,0.646512471,-2.395113544,0.066051907,0.006954617
2732,21.292738173,1466.412979126,0.617032989,-2.395674265,0.058061388,0.006740994
3008,23.253892687,1715.312508477,0.585844778,-2.395198851,0.050992330,0.006511264
3312,25.379618327,2007.062640720,0.557728152,-2.397054096,0.045131259,0.006371392
3646,27.730161879,2359.431725396,0.533894888,-2.397824567,0.039277818,0.006050958
4014,30.304373847,2775.145072089,0.510579737,-2.398148929,0.034458584,0.005864461
4419,33.112514920,3258.369678073,0.485575286,-2.398655268,0.029936049,0.005675422
4864,36.211961534,3837.989644368,0.463117262,-2.397957615,0.025964525,0.005399068
5354,39.619645860,4533.775597466,0.443871011,-2.398163368,0.022530450,0.005094740
5893,43.333501180,5336.407914903,0.420668182,-2.398187559,0.019448174,0.004881965
6486,47.422910902,6291.812506782,0.398571434,-2.397782365,0.016979641,0.004601373
7138,51.874821981,7419.114562988,0.378307794,-2.399882763,0.014693366,0.004425049
7855,56.779868232,8773.724041409,0.360584682,-2.397897037,0.012667338,0.004087660
8644,62.124454074,10350.813739353,0.340795770,-2.398666754,0.010935465,0.003941006
9512,68.076300727,12268.741675483,0.323531551,-2.396196731,0.009429932,0.003677368
10467,74.608705309,14535.718175252,0.305521868,-2.396051986,0.008384705,0.003406949
11518,81.943408542,17304.591166178,0.288398942,-2.395769710,0.007234361,0.003234016
12674,89.862009684,20558.701944987,0.272781998,-2.395520858,0.006276449,0.003083971
13945,98.595881144,24476.742574056,0.258779011,-2.397604832,0.005548265,0.002791511
15344,108.142169529,29037.973390367,0.241292157,-2.397344802,0.004785326,0.002577888
16882,118.684551663,34600.816179064,0.227998934,-2.397254851,0.004206340,0.002378676
18574,130.285356310,41293.901039971,0.216228827,-2.398276449,0.003700256,0.002168443
20436,142.765216404,48980.051525540,0.201415754,-2.398368139,0.003229777,0.002121819
22484,156.642586602,58431.168294271,0.190561251,-2.398725950,0.003004286,0.001920912
24737,171.898356120,69659.217629327,0.178620292,-2.396222318,0.002624512,0.001764933
27215,188.607248942,82925.481162177,0.165450669,-2.397963720,0.002265082,0.001503838
29941,207.090457492,99149.408633762,0.155819486,-2.398214334,0.002109951,0.001462301
32940,227.313379924,118516.422895643,0.146690312,-2.396447111,0.001888699,0.001381768
