time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.148422241,0.223798964,4.079910770,-1.998810154,0.871958415,0.000871446
2,0.255711873,0.517628988,2.956947986,-1.998710225,0.808320787,0.000857883
3,0.346303304,0.847483317,2.533189209,-1.998491461,0.764684889,0.000855340
4,0.428109063,1.206359863,2.290467728,-1.998096323,0.731090970,0.000853644
5,0.503109402,1.587058173,2.134718585,-1.998795639,0.703258091,0.000840081
6,0.574340820,1.993464152,2.021005966,-1.998940809,0.679480659,0.000856188
7,0.642254300,2.414391412,1.926118343,-1.998034995,0.658521864,0.000854492
8,0.708272298,2.858803643,1.848935281,-1.997567202,0.639833238,0.000873990
10,0.838873969,3.832412720,1.722193108,-1.997824025,0.605707804,0.000857035
12,0.962202284,4.861263699,1.624980532,-1.997925891,0.576722887,0.000843472
14,1.080712212,5.937979804,1.541217497,-1.998145096,0.551538255,0.000854492
16,1.197202894,7.095255534,1.474289719,-1.998160942,0.528722975,0.000862122
19,1.368125068,8.948387994,1.389879237,-1.997543700,0.498104519,0.000849406
22,1.534673055,10.973405626,1.329464314,-1.996850253,0.471427917,0.000870599
25,1.698025174,13.119589912,1.275191789,-1.997114343,0.447479248,0.000844320
29,1.910207113,16.138948229,1.211472589,-1.998209935,0.419574314,0.000828213
33,2.116826375,19.293543498,1.152912448,-1.998474334,0.395040724,0.000824822
38,2.371800741,23.550742255,1.093369015,-1.997750079,0.367023892,0.000824822
43,2.618158976,28.060692681,1.046857787,-1.999325911,0.342819214,0.000836690
49,2.911746555,33.941338433,1.001788515,-1.998863011,0.318048265,0.000885010
55,3.202412923,40.179338243,0.958918379,-1.998303459,0.296474033,0.000846015
62,3.538496229,48.063593547,0.919251864,-1.999243600,0.273942735,0.000837538
70,3.909900241,57.448406643,0.878920118,-1.999605916,0.251726786,0.000851949
78,4.285118951,67.529530843,0.838685118,-1.998767343,0.232020908,0.000856188
87,4.696941800,79.486494276,0.801236902,-1.998014629,0.213293287,0.000885010
97,5.155297173,93.846506755,0.765303641,-1.997897403,0.194917467,0.000872294
108,5.653210110,110.880482992,0.734483626,-1.998534939,0.177626716,0.000882467
121,6.232547336,132.188980103,0.701126020,-1.997294668,0.160281711,0.000888401
135,6.863260905,157.527321710,0.671665323,-1.997265547,0.144023471,0.000884162
150,7.534657796,186.628868951,0.643285778,-1.997054299,0.129338582,0.000858731
167,8.279135810,221.300918579,0.613886981,-1.996430064,0.115404765,0.000922309
186,9.119420369,263.803877089,0.585719801,-1.995089074,0.102423774,0.000917223
207,10.039428711,314.458289252,0.559587683,-1.995091971,0.090581258,0.000874837
230,11.046607123,374.038028293,0.532264294,-1.996641187,0.079945882,0.000861274
255,12.118679470,443.220623440,0.508631340,-1.997940650,0.070000543,0.000872294
283,13.310294257,527.072699653,0.487247258,-1.995720953,0.061716715,0.000879076
313,14.601345486,625.606836955,0.466899245,-1.995725049,0.054278056,0.000869751
347,16.036690606,742.754048665,0.443749893,-1.995838745,0.047556559,0.000865512
384,17.594831679,878.191262139,0.417977236,-1.994289536,0.041602241,0.000834147
425,19.327100966,1046.069642809,0.399889772,-1.994180918,0.036558363,0.000874837
470,21.212298923,1242.867552016,0.380794370,-1.997582374,0.031944275,0.000878228
519,23.241985745,1471.601781209,0.361805564,-1.997707765,0.027698941,0.000874837
573,25.474750095,1745.259860569,0.344393801,-1.996417111,0.024550544,0.000872294
633,27.977442424,2077.073896620,0.326608567,-1.996882254,0.021648831,0.000857035
699,30.714789497,2474.052422418,0.311059423,-1.997212545,0.018964132,0.000823975
771,33.681170993,2941.117153592,0.296138183,-1.996359574,0.016374376,0.000844320
851,37.042555067,3510.700458103,0.279139008,-1.996219956,0.014611138,0.000834147
939,40.679345025,4187.462707520,0.265133894,-1.995667427,0.012828403,0.000801086
1036,44.681737264,4994.082989163,0.250638579,-1.998203440,0.011397468,0.000783285
1142,49.003080580,5949.471594916,0.238705458,-1.995928445,0.009958903,0.000840929
