time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.026926676,0.031241523,20.580717880,-2.796584655,0.974414402,0.310151842
2,0.042151557,0.056549072,14.931613284,-2.796576284,0.962193807,0.310016208
3,0.052793715,0.079630534,13.288102521,-2.796646458,0.954689026,0.310042487
4,0.060431586,0.099177043,12.577446516,-2.796520250,0.949855381,0.310116238
5,0.067262438,0.118031820,12.045826087,-2.796698662,0.945795695,0.310207791
6,0.073594835,0.134769016,11.436437674,-2.796479916,0.941986932,0.310179816
7,0.078594632,0.151326497,11.238631031,-2.796365671,0.939336141,0.310187446
8,0.083835178,0.167900933,10.943200264,-2.796482974,0.936634488,0.310163710
10,0.092810737,0.201036241,10.663866148,-2.796517677,0.932312012,0.310046726
12,0.101184421,0.232198079,10.336877771,-2.796301654,0.928434584,0.310015361
14,0.109002007,0.262919108,10.054102816,-2.796408233,0.924763150,0.309953478
16,0.115805732,0.293811374,9.951427158,-2.796777427,0.922128465,0.309954325
19,0.124860975,0.335757785,9.766494029,-2.796848607,0.918494331,0.310039096
22,0.134536743,0.377668593,9.427119705,-2.796581195,0.914239671,0.309903463
25,0.143244425,0.418304443,9.187713108,-2.796832478,0.910608080,0.309879727
29,0.153901842,0.472876655,8.981537752,-2.796471348,0.906675551,0.309907701
33,0.164252387,0.525197347,8.727618448,-2.796504095,0.902610779,0.309759352
38,0.177137587,0.595216539,8.475444801,-2.795828157,0.897750854,0.309384664
43,0.189302233,0.667838203,8.310416270,-2.795961160,0.893463135,0.309498257
49,0.202165392,0.740222507,8.050713359,-2.795920369,0.889062670,0.309339735
55,0.215065850,0.815975613,7.812085929,-2.795981537,0.884408739,0.309252421
62,0.229348077,0.910427517,7.649581719,-2.795710619,0.879841275,0.309128655
70,0.244822184,1.005956014,7.385444235,-2.796047175,0.874607510,0.308978611
78,0.260318332,1.122412788,7.272738212,-2.796135056,0.869952732,0.308848911
87,0.277335273,1.240834554,7.059341266,-2.796309527,0.864781698,0.308497959
97,0.294833713,1.371290419,6.880479789,-2.796398038,0.859767490,0.308474223
108,0.313822428,1.523384942,6.729933675,-2.796512211,0.854366726,0.308175829
121,0.333652072,1.672339545,6.501542849,-2.796984451,0.848657396,0.307896084
135,0.356031630,1.857923720,6.321001724,-2.796479317,0.842197842,0.307539198
150,0.380155775,2.087110731,6.214063492,-2.796560216,0.836208767,0.307390849
167,0.406843397,2.334718492,6.048903558,-2.796492164,0.829384698,0.307307773
186,0.433817546,2.575085110,5.838663532,-2.796675475,0.822476705,0.306791517
207,0.465616862,2.887393528,5.658786068,-2.795970900,0.814794752,0.306126065
230,0.497556898,3.229129367,5.524107752,-2.796573417,0.807490879,0.305744595
255,0.529712253,3.577507867,5.377680191,-2.796707365,0.800328573,0.305219014
283,0.566957262,3.992267185,5.211107730,-2.796099667,0.792188856,0.304630703
313,0.604832967,4.440168593,5.068729830,-2.795818482,0.784134759,0.304138184
347,0.647174411,4.977969699,4.939821567,-2.795807316,0.775189718,0.303630405
384,0.691782633,5.529073079,4.773445513,-2.795687618,0.767108493,0.302798801
425,0.741144816,6.198794895,4.638865680,-2.795707341,0.757480197,0.302247789
470,0.793438382,6.932169596,4.502949330,-2.795560556,0.747689141,0.301596748
519,0.848709106,7.728363037,4.363031586,-2.796085665,0.738112556,0.300437927
573,0.908469306,8.602779812,4.209438075,-2.795336898,0.728209602,0.299620734
633,0.972110324,9.646726820,4.104018654,-2.796020674,0.718391418,0.298878988
699,1.042690701,10.801101685,3.966894659,-2.795704213,0.707277086,0.297688802
771,1.117396037,12.112169054,3.850622545,-2.795533358,0.696179708,0.296552870
851,1.197994656,13.582700941,3.731105361,-2.795691386,0.684974670,0.295217726
939,1.283930461,15.315600925,3.644866062,-2.796387250,0.673672146,0.293586731
1036,1.376854791,17.200766669,3.538215851,-2.795875801,0.661198934,0.291908264
1142,1.474926419,19.209008111,3.414538685,-2.795922625,0.649036831,0.290036519
1259,1.582446628,21.604090373,3.313049605,-2.796088999,0.636736552,0.288016425
1388,1.703672621,24.470525106,3.215560296,-2.795499398,0.622889201,0.285547045
1530,1.832073636,27.705008613,3.126130072,-2.795894251,0.609599643,0.283371819
1686,1.967607286,31.171541002,3.024383476,-2.795997470,0.596212599,0.280987210
1857,2.114118788,35.122468736,2.928813958,-2.795828163,0.581879510,0.278343201
2046,2.273135715,39.623519897,2.834545959,-2.796207866,0.567267524,0.275296529
2253,2.439197116,44.431070964,2.733366406,-2.795657447,0.552692837,0.272207472
2481,2.626495361,50.286051432,2.645053249,-2.795944422,0.538002014,0.268830193
2732,2.825446235,56.767381456,2.555048838,-2.795940793,0.522791545,0.265439351
3008,3.043784248,64.556872898,2.483821943,-2.795509020,0.507019891,0.261752658
3312,3.274410672,72.704842461,2.390634837,-2.795498741,0.490813361,0.257597182
3646,3.534435696,82.940378825,2.319352860,-2.795767194,0.474907769,0.252905104
4014,3.818623861,94.501990424,2.240111584,-2.796184065,0.458262126,0.248290168
4419,4.114949544,107.206130981,2.165298794,-2.796030142,0.442255656,0.243667603
4864,4.438927544,121.947577582,2.094037255,-2.796286712,0.425870260,0.238278707
5354,4.792010837,139.009070502,2.026374952,-2.796936946,0.408822801,0.233007643
5893,5.177836100,158.484402127,1.954640944,-2.796598732,0.392074585,0.226997375
6486,5.596393161,181.294940525,1.893331384,-2.796725621,0.375636631,0.220755683
7138,6.040610419,205.791849772,1.819310634,-2.796556343,0.358166165,0.214236789
7855,6.529644436,235.001212226,1.755126292,-2.796582335,0.341226366,0.207451714
8644,7.070514255,268.780030992,1.687723154,-2.796161855,0.324222141,0.200426737
9512,7.652113173,307.564324273,1.625428370,-2.796781717,0.307364570,0.193361070
10467,8.293309530,353.451958550,1.568495007,-2.796257301,0.290419685,0.185364617
11518,8.983986749,406.698340522,1.518727239,-2.796632111,0.274169074,0.177864075
12674,9.732562595,467.102935791,1.464833042,-2.796954927,0.257658217,0.169369168
13945,10.560004340,536.259972466,1.403611411,-2.796607169,0.241580539,0.161170959
15344,11.456544664,617.034800212,1.349867478,-2.795866626,0.225389269,0.153114319
16882,12.438478258,711.246246338,1.298186287,-2.797403167,0.209983826,0.144571092
18574,13.498835246,820.559633043,1.251311665,-2.796891290,0.195255703,0.136477153
20436,14.677771674,949.671910604,1.203670083,-2.795865032,0.180525038,0.128156874
22484,15.965845744,1098.227328830,1.153964152,-2.796312346,0.166362339,0.119789971
24737,17.359731038,1268.329520331,1.104326818,-2.797170265,0.153455098,0.111886766
27215,18.868854099,1465.071721395,1.057175269,-2.797625260,0.140724182,0.103997972
29941,20.517437405,1692.933497111,1.010486039,-2.797101189,0.128593445,0.096151564
32940,22.348875258,1968.516430325,0.970305911,-2.797173221,0.116777208,0.088453505
36238,24.337863498,2286.946792603,0.930289125,-2.797316933,0.105425517,0.081163194
39866,26.492955526,2656.112186008,0.892005489,-2.798560639,0.094824897,0.073939853
43857,28.872261895,3083.547614204,0.849176184,-2.797191405,0.084704081,0.067020840
