time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.007480197,0.007731120,68.366030582,-4.204064851,0.992624919,0.988427056
2,0.009867350,0.010464138,52.902229213,-4.204042174,0.990370009,0.988342285
3,0.010830349,0.011664497,48.896262097,-4.204076264,0.989515516,0.988352458
4,0.010511610,0.011793349,52.801571546,-4.204102784,0.989986844,0.988498264
5,0.010742188,0.012227376,52.318541265,-4.204117830,0.989786784,0.988586426
6,0.010911730,0.012444390,51.581670874,-4.204102061,0.989620633,0.988382975
7,0.010891385,0.012518989,52.070365024,-4.204072488,0.989668104,0.988481310
8,0.010660807,0.012234158,52.876505462,-4.204061326,0.989891900,0.988427056
10,0.010782878,0.012030707,50.902434662,-4.204054135,0.989688449,0.988488091
12,0.010823568,0.012308757,51.668933819,-4.204052607,0.989685059,0.988230387
14,0.010531955,0.011725532,52.238697413,-4.204046706,0.989891900,0.988467746
16,0.011040582,0.012932671,52.621318002,-4.203972643,0.989529080,0.988104926
19,0.010952420,0.012580024,51.273742495,-4.204096485,0.989556207,0.988216824
22,0.011013455,0.012485080,50.730049371,-4.204042843,0.989529080,0.988111708
25,0.011081272,0.012736003,50.791809783,-4.203991385,0.989501953,0.988179525
29,0.010938856,0.012498644,51.261166370,-4.204086070,0.989617242,0.988274468
33,0.011182997,0.012668186,49.788982400,-4.204070005,0.989345974,0.988033719
38,0.011332194,0.013509115,51.440731024,-4.204050238,0.989379883,0.988416884
43,0.011352539,0.013407389,51.190104099,-4.203989505,0.989308675,0.988169352
49,0.011305067,0.013237847,50.805671656,-4.204029473,0.989356147,0.988362630
55,0.011162652,0.012810601,50.284767391,-4.204046607,0.989407010,0.988115099
62,0.010891385,0.012810601,53.235183745,-4.204102365,0.989773220,0.988450792
70,0.011182997,0.013190375,51.881023084,-4.204054223,0.989474826,0.988203261
78,0.011637370,0.013549805,49.130938990,-4.203954932,0.989023844,0.988054064
87,0.011379666,0.013556586,51.775236158,-4.204009422,0.989312066,0.988352458
97,0.011060927,0.012959798,52.054969643,-4.204028652,0.989583333,0.988355849
108,0.011244032,0.013312446,51.891431296,-4.204012104,0.989403619,0.988247342
121,0.011623806,0.013834635,50.439275539,-4.204043737,0.989115397,0.988301595
135,0.011501736,0.013468424,49.964529343,-4.204065776,0.989145915,0.988260905
150,0.011528863,0.013515896,50.383952503,-4.204010054,0.989118788,0.988189697
167,0.011576335,0.013576931,49.605955158,-4.204089627,0.989098443,0.988281250
186,0.011135525,0.012925890,51.369201698,-4.204021770,0.989495171,0.988396539
207,0.011006673,0.013027615,53.047979174,-4.204006782,0.989668104,0.988284641
230,0.011400011,0.013271756,49.977894078,-4.204062207,0.989281548,0.988399929
255,0.011311849,0.013136122,50.256643085,-4.203999058,0.989315457,0.988308377
283,0.011332194,0.013183594,50.308865740,-4.204011998,0.989298503,0.988155789
313,0.011393229,0.013264974,50.348928716,-4.203980809,0.989278158,0.988498264
347,0.011325412,0.013203939,50.526926176,-4.204076266,0.989318848,0.988379584
384,0.011610243,0.013916016,50.798258917,-4.203994545,0.989125570,0.988474528
425,0.011257595,0.013122559,51.444326655,-4.204020564,0.989390055,0.988121880
470,0.011752658,0.013983832,49.622958733,-4.203921965,0.989037408,0.988081190
519,0.011549208,0.013732910,50.700390999,-4.204005303,0.989227295,0.988230387
573,0.011576335,0.014044868,51.471432673,-4.204020335,0.989301893,0.988369412
633,0.011874729,0.014465332,50.164388092,-4.204019195,0.988983154,0.988349067
699,0.011413574,0.013529460,51.196313390,-4.204053622,0.989379883,0.988555908
771,0.011386447,0.014010959,53.648524953,-4.204060897,0.989529080,0.988108317
851,0.011711968,0.014309353,51.211286393,-4.203995397,0.989159478,0.988457574
939,0.011759440,0.014546712,51.845304890,-4.203991980,0.989142524,0.988033719
1036,0.011745877,0.014153375,50.626221882,-4.203978689,0.989061144,0.988226997
1142,0.011867947,0.014940050,52.654861662,-4.203944952,0.989037408,0.988342285
1259,0.012003581,0.015387641,53.059386057,-4.204049610,0.988983154,0.988071018
1388,0.011915419,0.015285916,53.154228522,-4.204019837,0.989054362,0.987962511
1530,0.012023926,0.015380859,52.621955656,-4.204023736,0.989054362,0.988064236
1686,0.011617025,0.014594184,53.901746115,-4.204007739,0.989369710,0.988169352
1857,0.012071398,0.015557183,52.846925446,-4.203977525,0.989006890,0.988003201
2046,0.012186686,0.015848796,52.592866270,-4.203985641,0.988918728,0.988003201
2253,0.012349447,0.016065809,51.748200783,-4.203926804,0.988783095,0.988057454
2481,0.012607151,0.017178006,53.477346718,-4.203956320,0.988688151,0.987782796
2732,0.012491862,0.016031901,50.670433673,-4.204039150,0.988623725,0.988054064
3008,0.012213813,0.016933865,56.199663929,-4.204020392,0.989132351,0.988060845
3312,0.012674967,0.017069499,52.363193042,-4.203975280,0.988644070,0.988023546
3646,0.012145996,0.015997993,53.517265248,-4.204030541,0.989084880,0.987996419
4014,0.012627496,0.016974555,53.505414142,-4.204019761,0.988698324,0.988233778
4419,0.012729221,0.016852485,51.054905723,-4.204003092,0.988623725,0.988101535
4864,0.012559679,0.017076280,53.237356926,-4.204031579,0.988789876,0.988355849
5354,0.012898763,0.018527561,55.062213987,-4.203975267,0.988711887,0.987972683
5893,0.012858073,0.017923991,53.363778959,-4.204019404,0.988644070,0.988162571
6486,0.013075087,0.018141005,52.311059535,-4.203997241,0.988498264,0.988210042
7138,0.013441298,0.018900553,52.223505901,-4.204004843,0.988186306,0.988254123
7855,0.013149685,0.019070095,55.077433307,-4.203938710,0.988552517,0.987806532
8644,0.013190375,0.019653320,55.245173186,-4.204016630,0.988630507,0.988003201
9512,0.013556586,0.020161947,54.170460492,-4.204065420,0.988308377,0.987837050
10467,0.013732910,0.020568848,54.150929442,-4.203957126,0.988115099,0.988182916
11518,0.013929579,0.020833333,52.638398192,-4.203975601,0.988013373,0.988030328
12674,0.013671875,0.020711263,54.411544644,-4.203948690,0.988349067,0.987942166
13945,0.014180501,0.022196452,54.635534917,-4.204020707,0.988020155,0.987830268
15344,0.014017741,0.021653917,54.002193509,-4.204010320,0.988145616,0.987565782
16882,0.014648438,0.023315430,53.401959679,-4.203954983,0.987623427,0.987813314
18574,0.014180501,0.022101508,54.126615947,-4.203992113,0.988023546,0.987938775
20436,0.013807509,0.021335178,55.348902011,-4.203969455,0.988260905,0.988226997
22484,0.014241536,0.021837023,52.845129424,-4.204054155,0.987976074,0.987813314
24737,0.014831543,0.023451063,51.910968676,-4.204007294,0.987582737,0.987548828
27215,0.014533149,0.023220486,54.226682181,-4.204023902,0.987965902,0.987464057
29941,0.014417860,0.022772895,53.964485837,-4.204111045,0.988037109,0.987636990
32940,0.014933268,0.024488661,53.882697786,-4.204000136,0.987721761,0.987447103
36238,0.014872233,0.025329590,55.807798940,-4.204050526,0.987969293,0.987433539
39866,0.015340169,0.025404188,53.055368307,-4.204032209,0.987477620,0.987135145
43857,0.015787760,0.025736491,50.434548090,-4.203979889,0.987250434,0.987291124
48247,0.015543620,0.025512695,51.664133991,-4.203987356,0.987501356,0.987396240
53077,0.015889486,0.028272841,55.109407814,-4.204018636,0.987467448,0.987504747
58390,0.016208225,0.029045953,54.430525472,-4.204084665,0.987236871,0.987179226
64234,0.016567654,0.029154460,52.012146697,-4.203986808,0.986826579,0.986989339
70662,0.016703288,0.029764811,52.032631939,-4.203987963,0.986901177,0.987124973
77733,0.016730414,0.028754340,50.283649181,-4.204028914,0.986840142,0.987158881
85511,0.016798231,0.028706868,50.198145877,-4.204026859,0.986748589,0.986704508
94067,0.016676161,0.028856066,50.885625424,-4.204012181,0.986857096,0.987202962
103479,0.016635471,0.028876411,50.801290210,-4.204030735,0.986897786,0.987202962
113832,0.016438802,0.029073079,52.457939642,-4.204128118,0.987186008,0.987118191
125220,0.017435710,0.030836317,49.646525917,-4.203945146,0.986463759,0.986962212
137747,0.017089844,0.031663683,53.469710252,-4.204006121,0.986802843,0.987060547
151527,0.017388238,0.034077962,55.249322393,-4.204063584,0.986765544,0.986609565
166685,0.017266168,0.033175998,54.829837253,-4.204028585,0.986711290,0.986782498
183359,0.017740885,0.034559462,54.021123578,-4.203984481,0.986643473,0.986436632
201700,0.017754449,0.033725315,52.781938224,-4.204025012,0.986473931,0.986433241
221876,0.018358019,0.034912109,51.080583017,-4.203931501,0.986229791,0.985775418
244069,0.017951118,0.035013835,53.282493787,-4.204175896,0.986534966,0.986582438
268482,0.018446181,0.037136502,53.494634996,-4.204075095,0.986362033,0.986602783
295336,0.018731011,0.037116157,52.098642377,-4.204029032,0.986029731,0.986284044
324875,0.019036187,0.037618001,51.338518319,-4.203942654,0.985978868,0.985900879
357368,0.019192166,0.037346734,49.628671644,-4.204021809,0.985839844,0.986290826
393111,0.019626194,0.038228353,48.741075787,-4.203841367,0.985605876,0.985677083
432428,0.019273546,0.038309733,50.342956568,-4.204051288,0.985989041,0.985863580
475677,0.019870334,0.041415744,51.416013975,-4.203982878,0.985710992,0.985805935
523251,0.020277235,0.040656196,48.073236809,-4.204020330,0.985273573,0.985731337
575582,0.020338270,0.041273329,48.261409868,-4.203940654,0.985351562,0.985504150
633147,0.020914714,0.044494629,49.417576605,-4.204020448,0.985158285,0.985283746
696468,0.020948622,0.045084635,50.100383929,-4.203909805,0.985382080,0.985212538
766121,0.020765516,0.047953288,53.276368617,-4.203992784,0.985585531,0.985534668
842740,0.021843804,0.047763401,48.191369924,-4.203870184,0.984788683,0.985188802
927020,0.022216797,0.053419325,52.759282423,-4.203938931,0.984846327,0.984792074
1019729,0.022603353,0.049431695,47.381949200,-4.203862775,0.984395345,0.984561496
1121708,0.022691515,0.050957574,48.265600647,-4.203899484,0.984337701,0.984534370
1233885,0.022793240,0.053663466,50.474856271,-4.203844305,0.984568278,0.984649658
1357280,0.023064507,0.055887858,51.659913060,-4.204007747,0.984469944,0.984469944
1493015,0.023803711,0.057115343,49.115339637,-4.203903879,0.983927409,0.984446208
1642323,0.023668077,0.059339735,51.879116289,-4.203960857,0.984235975,0.984480116
1806562,0.023451063,0.059766981,52.410404417,-4.204051594,0.984419081,0.984202067
1987225,0.024136013,0.062737359,51.803235341,-4.203983457,0.984157986,0.984235975
2185955,0.024963379,0.066175673,51.834287014,-4.203934058,0.983567980,0.984151204
2404558,0.025092231,0.066942003,52.071426459,-4.204021494,0.983795166,0.984086778
2645021,0.025750054,0.074150933,54.268753381,-4.203753570,0.983669705,0.983588325
2909530,0.025600857,0.069030762,51.833519082,-4.203959349,0.983571370,0.983459473
3200490,0.026373969,0.077012804,54.476101691,-4.203910251,0.983405219,0.983066135
3520546,0.027045356,0.079772949,52.953090084,-4.203867625,0.983188205,0.983194987
3872608,0.027208116,0.077582465,51.305261345,-4.203868731,0.982998318,0.982920329
4259876,0.027153863,0.083041721,55.260697619,-4.203906697,0.983296712,0.983130561
4685871,0.027160645,0.083184136,55.354526188,-4.204053974,0.983418783,0.983154297
5154466,0.027913411,0.084208171,53.044019781,-4.204020775,0.982720269,0.983022054
5669920,0.028096517,0.085198296,53.108894069,-4.204034866,0.982767741,0.982886420
6236920,0.028828939,0.095730252,56.660175816,-4.204057539,0.982805040,0.982581245
6860620,0.029188368,0.095309787,54.720386555,-4.203978104,0.982493083,0.982923720
7546690,0.030117459,0.110399034,57.630719776,-4.203977427,0.982452393,0.982510037
8301367,0.031155056,0.123792860,60.895276239,-4.204079518,0.982218424,0.982465956
9131512,0.031758626,0.128851997,61.677572902,-4.203853337,0.982184516,0.982052273
10044671,0.032680935,0.128133138,57.633142994,-4.203787556,0.981489393,0.981821696
11049146,0.033454047,0.143324110,61.008354834,-4.203849527,0.981438531,0.981547038
12154069,0.033894857,0.145114475,59.988749786,-4.203812901,0.981458876,0.981228299
13369484,0.033704970,0.138014052,57.981026348,-4.204013799,0.981336806,0.981621636
14706440,0.034837511,0.150743273,59.292193022,-4.204064616,0.981024848,0.981279161
16177092,0.034667969,0.152113173,62.021579874,-4.203881086,0.980699327,0.980899387
17794809,0.034939236,0.139478895,54.972572213,-4.203854962,0.980689155,0.980621338
19574298,0.036417643,0.167738173,61.361299180,-4.203965857,0.980451796,0.980651855
21531736,0.036499023,0.182522244,66.229223839,-4.204104541,0.980906169,0.980282254
23684918,0.036539714,0.172376845,61.627761215,-4.204171011,0.980658637,0.980719672
26053418,0.037170410,0.167412652,59.313387980,-4.203915524,0.980346680,0.980194092
28658768,0.037936740,0.184380425,61.818943714,-4.204087991,0.980150011,0.980424669
31524653,0.038581000,0.200283474,64.264414696,-4.204072297,0.979922824,0.979977078
34677127,0.039923774,0.218282064,65.828140850,-4.204064409,0.979688856,0.979654948
38144848,0.040751139,0.227939182,65.553966336,-4.204018521,0.979651557,0.979593913
41959342,0.041178385,0.224873861,63.671066367,-4.204109125,0.979231093,0.979427762
46155285,0.042683919,0.250942654,65.971749397,-4.204000402,0.979224311,0.979071723
50770822,0.043823242,0.261834039,65.368345883,-4.204126263,0.978593614,0.978983561
55847913,0.044826931,0.281012641,67.350391406,-4.204036114,0.978593614,0.978613959
61432713,0.045111762,0.289394803,68.256426414,-4.204107026,0.978820801,0.978359646
67575993,0.046210395,0.297397190,66.363847364,-4.204096352,0.978240967,0.978752984
74333601,0.046664768,0.305297852,67.197717658,-4.203965972,0.977837457,0.978342692
81766970,0.047010634,0.306708442,65.227295597,-4.203968586,0.977956136,0.978084988
89943676,0.049926758,0.383226183,70.736521859,-4.203997608,0.977413601,0.977223714
98938053,0.051493327,0.419731988,72.499288951,-4.204156331,0.977339003,0.977491591
108831868,0.052666558,0.416185167,69.353158376,-4.203989910,0.976871067,0.977281359
119715064,0.054083930,0.441365560,69.657365617,-4.204033451,0.976664225,0.976565891
131686580,0.056708442,0.480895996,68.783909267,-4.203945374,0.976213243,0.976470947
144855247,0.057895237,0.541388618,74.145851667,-4.203903891,0.975948758,0.975952148
159340781,0.059360080,0.577114529,72.896555102,-4.204147100,0.976138645,0.975714789
175274869,0.061428494,0.570027669,72.016540415,-4.204064163,0.975229899,0.975596110
192802366,0.061964247,0.580078125,71.988315474,-4.203884398,0.975263808,0.975172255
212082612,0.065334744,0.673441569,74.604151246,-4.203917546,0.975209554,0.974853516
233290883,0.066060384,0.757229275,80.331211138,-4.204072188,0.975338406,0.975046794
256619981,0.067172580,0.704569499,74.360797496,-4.204041534,0.974310981,0.974541558
282281989,0.069247776,0.767381456,74.004138558,-4.204085723,0.974053277,0.974124485
310510198,0.070888943,0.831990560,77.659554923,-4.204009418,0.973815918,0.973900689
341561228,0.072285970,0.814303928,73.366450381,-4.203830103,0.973514133,0.973402235
375717361,0.073133681,0.846496582,74.097544777,-4.203962272,0.973524306,0.973375109
413289107,0.075195312,0.870551215,73.022739079,-4.204251187,0.973280165,0.973317464
