time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.756062826,1.903630575,0.665049390,-0.997799937,0.493402269,0.000058492
2,1.449564616,5.940833198,0.413574002,-0.997302971,0.320181105,0.000063578
3,2.119118585,11.895316230,0.324315421,-0.998352161,0.230031331,0.000055949
4,2.772681342,19.602796766,0.274834433,-0.998626146,0.176520454,0.000054253
5,3.425969442,29.252517700,0.246048508,-0.997022254,0.140303718,0.000068665
6,4.068040636,40.443808662,0.221914539,-0.997998021,0.114696927,0.000063578
7,4.705812242,53.403104994,0.205729568,-0.997488472,0.096772088,0.000060187
8,5.338383993,67.827073839,0.189982036,-0.998276212,0.082842509,0.000062731
10,6.599099053,102.039130317,0.171543059,-0.998526221,0.064342075,0.000074599
12,7.856328328,142.532718235,0.154616978,-0.999687953,0.052424113,0.000061035
14,9.104185316,189.150334676,0.140977623,-0.999917515,0.043885973,0.000062731
16,10.348856608,242.181272719,0.130586650,-0.999554765,0.037659539,0.000059340
19,12.213967217,333.668989393,0.118289742,-1.000719109,0.031391568,0.000045776
22,14.080032349,440.060979207,0.109839873,-0.998903190,0.026529100,0.000054253
25,15.929641724,559.868765937,0.103145014,-0.998558593,0.023344252,0.000040690
29,18.401489258,741.478056166,0.094850916,-0.999081196,0.019869486,0.000058492
33,20.875311957,948.869042291,0.088683727,-0.998853309,0.017490811,0.000052558
38,23.962693956,1242.281611125,0.081720214,-0.998215137,0.014882406,0.000049167
43,27.032794529,1571.180735270,0.074990300,-0.998543553,0.013173421,0.000052558
49,30.729765150,2015.792444865,0.067304139,-0.997639937,0.011412727,0.000047472
55,34.433276706,2521.183602227,0.063189215,-0.998507650,0.010136074,0.000059340
62,38.731445312,3174.972734239,0.058215287,-1.000154244,0.009058634,0.000049167
70,43.617150201,4009.961929321,0.053859763,-0.999659184,0.007929484,0.000051710
78,48.498899672,4938.887959798,0.049826921,-0.997100118,0.007095337,0.000049167
87,54.067262438,6118.203731961,0.046429683,-0.998502013,0.006445143,0.000055949
97,60.207455105,7574.066548665,0.044666071,-0.998776972,0.005604214,0.000057644
108,67.009304470,9354.757663303,0.041629922,-0.999118158,0.005020142,0.000061883
121,74.959423489,11676.496927897,0.038991353,-0.995681275,0.004380120,0.000051710
135,83.548278809,14457.305101183,0.035533818,-0.999459089,0.003906250,0.000069512
