# Hexagonal lattice - Relaxation time tau vs inverse temperature beta. Note: include cases where tau is not found.
# beta | tau
1.000000000000000048e-04 4.162326390000000154e-01
1.000000000000000056e-01 4.579535590000000100e-01
2.000000000000000111e-01 5.543619789999999492e-01
2.999999999999999889e-01 6.099175350000000106e-01
4.000000000000000222e-01 8.122016060000000204e-01
5.000000000000000000e-01 9.830186629999999592e-01
5.999999999999999778e-01 1.308783637000000111e+00
6.999999999999999556e-01 1.916829426999999919e+00
8.000000000000000444e-01 2.807047525999999849e+00
9.000000000000000222e-01 4.521620009000000273e+00
1.000000000000000000e+00 8.011501735999999596e+00
1.050000000000000044e+00 1.173036024299999980e+01
1.100000000000000089e+00 1.717521158899999989e+01
1.149999999999999911e+00 2.766191948799999878e+01
1.199999999999999956e+00 3.800000000000000000e+01
1.250000000000000000e+00 5.500000000000000000e+01
1.300000000000000044e+00 9.700000000000000000e+01
1.350000000000000089e+00 1.670000000000000000e+02
1.399999999999999911e+00 3.130000000000000000e+02
1.449999999999999956e+00 5.730000000000000000e+02
1.500000000000000000e+00 1.036000000000000000e+03
1.550000000000000044e+00 2.253000000000000000e+03
1.600000000000000089e+00 4.419000000000000000e+03
1.649999999999999911e+00 1.046700000000000000e+04
1.659999999999999920e+00 1.151800000000000000e+04
1.669999999999999929e+00 1.267400000000000000e+04
1.679999999999999938e+00 1.688200000000000000e+04
1.689999999999999947e+00 1.857400000000000000e+04
1.699999999999999956e+00 2.248400000000000000e+04
1.709999999999999964e+00 2.721500000000000000e+04
1.719999999999999973e+00 3.294000000000000000e+04
1.729999999999999982e+00 3.986600000000000000e+04
1.739999999999999991e+00 4.824700000000000000e+04
1.750000000000000000e+00 5.839000000000000000e+04
1.760000000000000009e+00 7.066200000000000000e+04
1.770000000000000018e+00 8.551100000000000000e+04
1.780000000000000027e+00 1.034790000000000000e+05
1.790000000000000036e+00 1.252200000000000000e+05
1.800000000000000044e+00 1.515270000000000000e+05
1.850000000000000089e+00 4.756770000000000000e+05
1.899999999999999911e+00 1.357280000000000000e+06
1.949999999999999956e+00 4.259876000000000000e+06
2.000000000000000000e+00 1.470644000000000000e+07
