# Cubic lattice - Fit result for overlap vs time.
# beta | A | t0 | alpha
8.000000000000000444e-01 1.002496385549770608e+00 2.591440276497456807e+01 6.192411040204860440e-01
9.000000000000000222e-01 9.595126656422680034e-01 8.456877443568043873e+01 6.169551654132868768e-01
1.000000000000000000e+00 9.506775996853609190e-01 3.379819810568835123e+02 6.125158323808289618e-01
1.050000000000000044e+00 9.421170547665573825e-01 7.305838369959116108e+02 6.190641551511057994e-01
1.100000000000000089e+00 9.484614979572827398e-01 1.941707609920423238e+03 6.118706758093559461e-01
1.149999999999999911e+00 9.529533512035789355e-01 4.876538275976097793e+03 5.933287188691204195e-01
1.199999999999999956e+00 9.608495653483895005e-01 1.480456226658215019e+04 5.907312107187079331e-01
1.250000000000000000e+00 9.664931650198360646e-01 5.106941583530278876e+04 5.919530942281019392e-01
1.300000000000000044e+00 9.684879018050693844e-01 1.982929755519938772e+05 5.735096975214221127e-01
1.350000000000000089e+00 9.758167645490002373e-01 8.907669427735481877e+05 5.630323217716981521e-01
1.399999999999999911e+00 9.528038229690380945e-01 4.905039770587090403e+06 5.786637972701362820e-01
