# Triangular lattice - Fit result for overlap vs time.
# beta | A | t0 | alpha
1.000000000000000000e+00 1.171866785989471138e+00 2.202047780835317070e+01 3.911478064635606766e-01
1.050000000000000044e+00 1.080907030116436740e+00 4.668757366664990371e+01 4.211234835154636924e-01
1.100000000000000089e+00 9.590548220012033998e-01 1.110310586850121979e+02 4.690371141767403773e-01
1.149999999999999911e+00 9.841123600653097769e-01 1.942038116160113645e+02 4.340273607618841956e-01
1.199999999999999956e+00 9.257824826690513875e-01 4.727754600127569233e+02 4.619968694833381795e-01
1.250000000000000000e+00 9.213289234503192482e-01 1.101057161297684388e+03 4.526573983015884095e-01
1.300000000000000044e+00 8.877910050947886988e-01 3.272804847125434208e+03 5.029782064664074515e-01
1.350000000000000089e+00 8.918584859112913543e-01 1.018875796043671289e+04 4.806873789520753615e-01
1.399999999999999911e+00 9.340480296605166988e-01 3.081935389721739193e+04 4.305150157436313796e-01
1.449999999999999956e+00 8.736311369551605921e-01 1.534092230772967450e+05 5.287510496408600602e-01
1.500000000000000000e+00 9.422317616561515230e-01 6.506150880836569704e+05 4.223577451058112553e-01
1.550000000000000044e+00 8.983082558332996514e-01 4.545642751619481482e+06 5.052070984080800908e-01
1.600000000000000089e+00 9.138940782945580432e-01 3.869229965138164908e+07 4.389036839927200617e-01
