# Cubic lattice - Relaxation time tau vs inverse temperature beta. Note: include cases where tau is not found.
# beta | tau
1.000000000000000048e-04 3.604781539999999951e-01
1.000000000000000056e-01 4.362612120000000093e-01
2.000000000000000111e-01 5.808195889999999695e-01
2.999999999999999889e-01 7.732114439999999700e-01
4.000000000000000222e-01 1.132269965000000100e+00
5.000000000000000000e-01 1.823820891000000000e+00
5.999999999999999778e-01 3.231409144000000122e+00
6.500000000000000222e-01 4.301188150999999849e+00
6.999999999999999556e-01 6.297634548999999637e+00
7.500000000000000000e-01 9.220639828999999565e+00
8.000000000000000444e-01 1.485028754300000031e+01
8.499999999999999778e-01 2.391692889200000138e+01
9.000000000000000222e-01 4.237079535600000213e+01
9.499999999999999556e-01 8.256937210600000299e+01
9.599999999999999645e-01 9.082637984699999834e+01
9.699999999999999734e-01 1.099000741459999944e+02
9.799999999999999822e-01 1.208901548030000015e+02
9.899999999999999911e-01 1.462772352430000069e+02
1.000000000000000000e+00 1.500000000000000000e+02
1.010000000000000009e+00 1.860000000000000000e+02
1.050000000000000044e+00 3.470000000000000000e+02
1.100000000000000089e+00 8.510000000000000000e+02
1.149999999999999911e+00 2.253000000000000000e+03
1.199999999999999956e+00 7.138000000000000000e+03
1.250000000000000000e+00 2.473700000000000000e+04
1.300000000000000044e+00 9.406700000000000000e+04
1.350000000000000089e+00 nan
