# King lattice - Fit result for overlap vs time.
# beta | A | t0 | alpha
9.000000000000000222e-01 1.199999999788495142e+00 1.584000458913270393e+01 4.117332330819221120e-01
9.499999999999999556e-01 1.199999999994978195e+00 2.627827189398529484e+01 3.810050541767239785e-01
1.000000000000000000e+00 1.123356688922786395e+00 5.638168010488504933e+01 3.694867514308146639e-01
1.050000000000000044e+00 1.032708418409088447e+00 1.485648125386890115e+02 3.875830287021158060e-01
1.100000000000000089e+00 1.029886453717762551e+00 3.082875442712797280e+02 3.587414635510520755e-01
1.149999999999999911e+00 9.067925777704060053e-01 1.283108796394720230e+03 4.153489582552291615e-01
1.199999999999999956e+00 8.885566508445261746e-01 3.761600022746749801e+03 4.233961896022049309e-01
1.250000000000000000e+00 8.771098332949339715e-01 1.574440331192650956e+04 4.322595822321935177e-01
1.300000000000000044e+00 8.669589481325918889e-01 9.573421889226483472e+04 4.364854962643901493e-01
1.350000000000000089e+00 8.748254925340706034e-01 7.034115992206851952e+05 4.227288282214606840e-01
1.399999999999999911e+00 8.796148047688507887e-01 6.331908289984447882e+06 4.088620773404414988e-01
