# Hexagonal lattice - Fit result for overlap vs time.
# beta | A | t0 | alpha
1.300000000000000044e+00 9.238391263707591561e-01 2.430614578548172346e+02 5.210585921256449815e-01
1.350000000000000089e+00 9.141827615806841223e-01 4.301236459320649601e+02 5.444971633552166956e-01
1.399999999999999911e+00 9.405891258311421810e-01 7.467370769060423754e+02 5.000970036247258665e-01
1.449999999999999956e+00 9.170260975089090660e-01 1.338747860621985183e+03 5.430308138593216150e-01
1.500000000000000000e+00 9.470539509221326258e-01 2.484229676748656857e+03 5.022117726005530525e-01
1.550000000000000044e+00 9.285865677295094267e-01 4.975986356214027182e+03 5.261922973498311951e-01
1.600000000000000089e+00 9.122174845617623262e-01 1.149869968348485600e+04 5.534182920950023732e-01
1.649999999999999911e+00 9.494556103975434480e-01 2.480381605407419556e+04 5.007030788881008387e-01
1.699999999999999956e+00 9.750550977980576572e-01 5.233473127612116514e+04 4.791143932383969406e-01
1.750000000000000000e+00 9.574713620664960789e-01 1.296368868327288073e+05 5.075593387221849495e-01
1.800000000000000044e+00 9.862295285130915357e-01 3.650340908847332466e+05 4.735036904485990794e-01
1.850000000000000089e+00 1.016353975907640539e+00 8.905922776514430298e+05 4.347128115396513004e-01
1.899999999999999911e+00 9.444320651682697187e-01 3.169531853695673402e+06 4.923915336854000069e-01
1.949999999999999956e+00 1.002270871785190920e+00 1.010727044932299294e+07 4.653445139869628044e-01
