# Square lattice - Relaxation time tau vs inverse temperature beta. Note: include cases where tau is not found.
# beta | tau
1.000000000000000048e-04 3.782823350000000251e-01
1.000000000000000056e-01 4.579535590000000100e-01
2.000000000000000111e-01 5.543619789999999492e-01
2.999999999999999889e-01 6.710340710000000097e-01
4.000000000000000222e-01 8.935546869999999586e-01
5.000000000000000000e-01 1.189697266000000031e+00
5.999999999999999778e-01 1.742458767000000019e+00
6.999999999999999556e-01 2.807047525999999849e+00
8.000000000000000444e-01 4.973931206999999688e+00
8.100000000000000533e-01 4.973931206999999688e+00
8.199999999999999512e-01 5.471462673999999637e+00
8.299999999999999600e-01 6.018771701000000363e+00
8.399999999999999689e-01 6.018771701000000363e+00
8.499999999999999778e-01 6.620795356000000353e+00
8.599999999999999867e-01 7.283040364999999738e+00
8.699999999999999956e-01 8.011501735999999596e+00
8.800000000000000044e-01 8.011501735999999596e+00
8.900000000000000133e-01 8.812798393999999647e+00
9.000000000000000222e-01 9.694227430999999839e+00
1.000000000000000000e+00 2.078236219600000112e+01
1.100000000000000089e+00 4.900000000000000000e+01
1.149999999999999911e+00 8.700000000000000000e+01
1.199999999999999956e+00 1.670000000000000000e+02
1.250000000000000000e+00 3.130000000000000000e+02
1.300000000000000044e+00 6.330000000000000000e+02
1.350000000000000089e+00 1.388000000000000000e+03
1.399999999999999911e+00 3.008000000000000000e+03
1.449999999999999956e+00 7.855000000000000000e+03
1.500000000000000000e+00 2.248400000000000000e+04
1.550000000000000044e+00 6.423400000000000000e+04
1.574999999999999956e+00 1.034790000000000000e+05
1.600000000000000089e+00 2.017000000000000000e+05
1.649999999999999911e+00 6.964680000000000000e+05
1.699999999999999956e+00 2.909530000000000000e+06
1.750000000000000000e+00 1.215406900000000000e+07
1.800000000000000044e+00 6.757599300000000000e+07
