# Square lattice - Fit result for overlap vs time.
# beta | A | t0 | alpha
1.000000000000000000e+00 9.840335978595962096e-01 4.352418136913556168e+01 5.352477671639906953e-01
1.300000000000000044e+00 9.702121289452916297e-01 1.352681715158983934e+03 5.048438483311000757e-01
1.399999999999999911e+00 9.660974382121294557e-01 7.149011968190873631e+03 4.968247139841595050e-01
1.449999999999999956e+00 9.369847878580864764e-01 1.890108399455616018e+04 5.262069609671025106e-01
1.500000000000000000e+00 9.808449511943334587e-01 5.180931510820423136e+04 4.695198921237240253e-01
1.550000000000000044e+00 9.661344421452632281e-01 1.425073162022518227e+05 4.930842712392734528e-01
1.600000000000000089e+00 9.641381083928258766e-01 4.541828921934925602e+05 4.990302158224246831e-01
1.649999999999999911e+00 9.729721463077696253e-01 1.574071452227271628e+06 4.713167641293765087e-01
1.699999999999999956e+00 9.346364307877517152e-01 7.081052932404823601e+06 5.114028710685966095e-01
1.750000000000000000e+00 9.907795962708586535e-01 3.067524593379180506e+07 4.596905975928576304e-01
