# Square lattice (reference) - Fit result for overlap vs time.
# beta | A | t0 | alpha
1.000000000000000048e-04 1.095119552357816106e+00 5.246425521808566472e-01 7.738245330825298529e-01
1.000000000000000056e-01 1.101466408126974716e+00 6.110879069871187896e-01 7.618330084267700419e-01
2.000000000000000111e-01 1.101240870147608186e+00 7.428360477662119266e-01 7.508176707058382693e-01
2.999999999999999889e-01 1.126837482742529595e+00 9.116823633479244071e-01 7.063168474237683236e-01
4.000000000000000222e-01 1.145161016070843640e+00 1.178885848874701159e+00 6.640306195556350266e-01
5.000000000000000000e-01 1.158949602965060333e+00 1.615845858683165881e+00 6.207239920600230443e-01
5.999999999999999778e-01 1.175404732053679346e+00 2.350859513639737663e+00 5.701814264122430087e-01
6.999999999999999556e-01 1.154902964645538876e+00 3.865177145787668245e+00 5.416909021960873982e-01
8.000000000000000444e-01 1.135365370036947485e+00 7.047350979370877511e+00 5.074310016832875858e-01
9.000000000000000222e-01 1.058073247277522499e+00 1.617998018233340929e+01 5.158706080014746620e-01
1.000000000000000000e+00 1.000945385907466179e+00 4.174278820145323010e+01 5.236551821542769769e-01
1.100000000000000089e+00 9.618102684023063231e-01 1.218760501372349978e+02 5.349031306341760494e-01
1.199999999999999956e+00 9.537014861459262027e-01 3.997136503259731626e+02 5.319435996132296784e-01
1.300000000000000044e+00 9.558992462795146139e-01 1.588337852954325854e+03 5.184698260284250626e-01
1.399999999999999911e+00 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01
1.500000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01
1.600000000000000089e+00 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01
1.699999999999999956e+00 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01
1.800000000000000044e+00 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01
1.899999999999999911e+00 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01
