beta,t_half
0.0001,0.38212401184130423
0.1,0.4469305915458456
0.2,0.5425971124290406
0.3,0.6782594217466269
0.4,0.8930813905423376
0.5,1.2234333664021355
0.6,1.7560826760045851
0.7,2.8074549437831324
0.8,4.728719721395434
0.9,9.326164124502855
1.0,21.185683800426087
1.1,57.92919545542793
1.2,163.57137119054207
1.3,644.6934486335442
1.35,1329.2764758040548
1.4,3325.0076140656793
1.45,7652.397667549906
1.5,20811.640241847555
1.55,57375.59793250228
1.6,231235.7398859323
1.65,724561.1069269041
1.7,2760833.869387755
1.75,12883771.144212525
1.8,66226140.54054054
1.85,360504831.1351352
