beta,length,length_err
1.85,2.3594985750987707,0.04605330914234502
1.8,2.2007442904268113,0.01050436814556545
1.75,2.0330338579029563,0.015356038858252541
1.7,1.9074560915885992,0.015823847781468853
1.65,1.7986133740742778,0.014371111805604414
1.6,1.7326745136959225,0.010943476984288455
1.55,1.5707554799928194,0.01900353664948472
1.5,1.477010573343567,0.009375697695161533
1.45,1.4076795650285898,0.0068597939472438835
1.4,1.367290023399989,0.011075796453819153
1.35,1.2722060834981757,0.010054976534911135
1.3,1.2332599394483712,0.016714906119421922
1.2,1.1285829727502583,0.009408611447716719
1.1,1.0669651859121585,0.0055017951368397395
1.0,0.946715237638579,0.0056697603106154295
0.9,0.8657762655780177,0.005319611475336708
0.8,0.7932084276726517,0.005760642092700147
0.7,0.7429439365022363,0.004994126327770328
0.6,0.7015372853038208,0.0030046255991356655
0.5,0.6654974844144649,0.0035871313214273924
0.4,0.6232307602872343,0.0041628597128848185
0.3,0.5994091827437749,0.0031698221163381
0.2,0.5848813228593586,0.0034578979443471085
0.1,0.5684130630188124,0.0024446853401946804
0.0001,0.5735125603329199,0.0023881972646423505
