t,Q
1.3685865591726046e-07,0.9902561511811844
2.549246826208244e-07,0.9897051243050522
4.7484460061201e-07,0.9887110156000324
8.84486321262797e-07,0.9879810765372634
1.6475201602644257e-06,0.9869266777384369
3.068812499669225e-06,0.9856584359601768
5.71623363723486e-06,0.983962447184306
1.0647547544523239e-05,0.9822429828485433
1.9833036210137107e-05,0.9803779691029614
3.694271602618353e-05,0.9775616680135971
6.881267461679302e-05,0.9747294556464582
0.00012817639570844006,0.9709537255693783
0.0002387523593334829,0.9661225348649431
0.0004447206427692604,0.9601662968100664
0.0008283748510684047,0.9529106646200254
0.0015430021183852113,0.9439342973512487
0.0028741282213849426,0.9326196296719566
0.005353597985728176,0.9175090746365899
0.009972071245653058,0.8990881719362973
0.018574836062303764,0.8764380900474631
0.03459908440704944,0.8466353404361013
0.06444722514862725,0.808393130154534
0.12004493472987983,0.758926766188753
0.22360600198173256,0.6988586527151097
0.41650773716326867,0.6230624151560298
0.7758230708451144,0.534641267972843
1.4451146606662004,0.4343965800252828
2.6917946384315607,0.32653657184118623
5.013967799723649,0.22264273927222422
9.339446901979839,0.13381719907561412
17.39645564530918,0.07005412175171132
32.4041318715624,0.02863904366618741
60.35871810662397,0.009768806099714077
112.42933049140328,0.0029930016024016866
209.42052368335484,0.0009735032718552479
390.084647379129,0.0004149904624021217
