beta,D
0.0001,0.533400737235
0.1,0.45675789708953796
0.2,0.37215639749304474
0.3,0.2899448410258137
0.4,0.2159264264546143
0.5,0.15268217030380032
0.6,0.10248612609428212
0.7,0.0647109589895118
0.8,0.03791940993403736
0.9,0.02059765846727076
1.0,0.01018375722679988
1.1,0.004490560410665313
1.2,0.0016967155380320802
1.3,0.0005493504713492155
1.4,0.00014695918873104558
1.5,2.92821471027741e-05
1.6,4.785191999073958e-06
1.7,4.933770045195328e-07
1.8,5.267787652511076e-08

